id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
7661413,Basketball Cards 2024 Panini Select WNBA,1st Off the Line Box,,,,,,,,,,,,,,,,,,,0,,,,,2024-10-23
7665121,Basketball Cards 2024 Panini Select WNBA,A'ja Wilson #158,$1.98,,$6.61,$12.63,$24.84,$36.51,$47.00,$22.00,$22.00,,,,$2.19,,,$1.50,$7.29,,21,,,,,2024-10-23
7666838,Basketball Cards 2024 Panini Select WNBA,A'ja Wilson #243,$7.00,,$10.98,$19.79,$38.00,$54.19,$70.00,$33.00,$33.00,,,$1.50,$7.69,,,$3.00,$11.99,,18,,,,,2024-10-23
7663426,Basketball Cards 2024 Panini Select WNBA,A'ja Wilson #86,$2.44,,$7.08,$17.88,$26.28,$31.00,$40.00,$20.00,$7.75,,,,$2.69,,,$1.60,$7.79,,44,,,,,2024-10-23
7665142,Basketball Cards 2024 Panini Select WNBA,A'ja Wilson [Black Finite Prizm] #158,,,,,,,,,,,,,,,,,,,0,,,,,2024-10-23
7666853,Basketball Cards 2024 Panini Select WNBA,A'ja Wilson [Black Finite Prizm] #243,,,,,,,,,,,,,,,,,,,0,,,,,2024-10-23
7663446,Basketball Cards 2024 Panini Select WNBA,A'ja Wilson [Black Finite Prizm] #86,,,,,,,,,,,,,,,,,,,0,,,,,2024-10-23
7665140,Basketball Cards 2024 Panini Select WNBA,A'ja Wilson [Black Gold Prizm] #158,$300.00,,,,,,,,,,,$165.00,$330.00,,,,,,1,,,,,2024-10-23
7666851,Basketball Cards 2024 Panini Select WNBA,A'ja Wilson [Black Gold Prizm] #243,,,,,,$153.50,$200.00,$92.00,$92.00,,,,,,,,,,1,,,,,2024-10-23
7663445,Basketball Cards 2024 Panini Select WNBA,A'ja Wilson [Black Gold Prizm] #86,,,,,,,,,,,,,,,,,,,0,,,,,2024-10-23
7665135,Basketball Cards 2024 Panini Select WNBA,A'ja Wilson [Bronze Checker Prizm] #158,$20.00,,$22.09,$75.00,$83.00,$90.00,$117.00,$54.00,$54.00,,,$6.60,$21.99,,,$7.20,$23.99,,9,,,,,2024-10-23
7663440,Basketball Cards 2024 Panini Select WNBA,A'ja Wilson [Bronze Checker Prizm] #86,$16.80,,$19.34,$33.51,$63.22,$88.09,$115.00,$53.00,$53.00,,,$4.50,$17.99,,,$6.30,$20.99,,7,,,,,2024-10-23
