id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
11901132,Basketball Cards 2025 Topps Chrome Sapphire,Aaron Gordon #100,$1.99,,$6.79,$13.10,$25.87,$38.86,$51.00,$23.00,$23.00,,,,$2.19,,,$1.50,$7.49,,50,,,,,2026-01-22
11901136,Basketball Cards 2025 Topps Chrome Sapphire,Aaron Gordon [Black] #100,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-22
11901135,Basketball Cards 2025 Topps Chrome Sapphire,Aaron Gordon [Gold] #100,$20.50,,,,,,,,,,,$6.90,$22.99,,,,,,1,,,,,2026-01-22
11901138,Basketball Cards 2025 Topps Chrome Sapphire,Aaron Gordon [Orange] #100,$37.52,,$38.72,$68.44,$80.00,$82.00,$107.00,$49.00,$49.00,,,$16.40,$40.99,,,$17.20,$42.99,,7,,,,,2026-01-22
11901137,Basketball Cards 2025 Topps Chrome Sapphire,Aaron Gordon [Padparadscha] #100,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-22
11901133,Basketball Cards 2025 Topps Chrome Sapphire,Aaron Gordon [Purple] #100,$14.50,,$18.03,$32.56,$62.65,$94.31,$123.00,$57.00,$57.00,,,$4.00,$15.99,,,$5.00,$19.99,,7,,,,,2026-01-22
11901134,Basketball Cards 2025 Topps Chrome Sapphire,Aaron Gordon [Red] #100,,,,$128.49,$141.00,,,,,,,,,,,,,,1,,,,,2026-01-22
11901781,Basketball Cards 2025 Topps Chrome Sapphire,Aaron Wiggins #196,$1.63,,$6.46,$12.54,$24.80,$37.24,$48.00,$22.00,$22.00,,,,$1.79,,,$1.40,$7.09,,45,,,,,2026-01-22
11901786,Basketball Cards 2025 Topps Chrome Sapphire,Aaron Wiggins [Black] #196,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-22
11901784,Basketball Cards 2025 Topps Chrome Sapphire,Aaron Wiggins [Gold] #196,$11.06,,$14.94,$27.24,$52.61,$79.26,$103.00,$48.00,$48.00,,,$3.00,$11.99,,,$4.00,$15.99,,10,,,,,2026-01-22
