id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
12106485,Basketball Cards 2025 Topps Finest,Aaron Gordon #189,$1.94,,$6.75,$13.05,$25.78,$38.80,$50.00,$23.00,$23.00,,,,$2.09,,,$1.50,$7.39,,24,,,,,2026-02-26
12106610,Basketball Cards 2025 Topps Finest,Aaron Gordon [Black Geometric Refractor] #189,$16.50,,,,,,,,,,,$4.50,$17.99,,,,,,1,,,,,2026-02-26
12106566,Basketball Cards 2025 Topps Finest,Aaron Gordon [Black Refractor] #189,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-26
12106592,Basketball Cards 2025 Topps Finest,Aaron Gordon [Blue Geometric Refractor] #189,$10.00,,$14.03,$25.74,$49.83,$75.48,$98.00,$45.00,$45.00,,,$2.80,$10.99,,,$3.80,$14.99,,7,,,,,2026-02-26
12106519,Basketball Cards 2025 Topps Finest,Aaron Gordon [Blue Refractor] #189,$3.49,,$8.15,$15.48,$30.38,$45.80,$60.00,$27.00,$27.00,,,$0.80,$3.79,,,$1.80,$8.99,,18,,,,,2026-02-26
12106532,Basketball Cards 2025 Topps Finest,Aaron Gordon [Blue X-Fractor] #189,$1.81,,$6.92,$13.34,$26.32,$39.65,$52.00,$24.00,$24.00,,,,$1.99,,,$1.50,$7.59,,16,,,,,2026-02-26
12106584,Basketball Cards 2025 Topps Finest,Aaron Gordon [Geometric Refractor] #189,$3.25,,,,,,,,,,,,$3.59,,,,,,1,,,,,2026-02-26
12106596,Basketball Cards 2025 Topps Finest,Aaron Gordon [Gold Geometric Refractor] #189,$7.51,,,,,,,,,,,$1.70,$8.29,,,,,,1,,,,,2026-02-26
12106546,Basketball Cards 2025 Topps Finest,Aaron Gordon [Gold Refractor] #189,$25.00,,,,,,,,,,,$8.40,$27.99,,,,,,1,,,,,2026-02-26
12106540,Basketball Cards 2025 Topps Finest,Aaron Gordon [Green Refractor] #189,$15.50,,,,,,,,,,,$4.30,$16.99,,,,,,1,,,,,2026-02-26
12106498,Basketball Cards 2025 Topps Finest,Aaron Gordon [Oil Spill Refractor] #189,$3.99,,$8.60,$16.27,$31.89,$48.11,$63.00,$29.00,$29.00,,,$0.90,$4.39,,,$1.90,$9.49,,9,,,,,2026-02-26
12106551,Basketball Cards 2025 Topps Finest,Aaron Gordon [Orange Refractor] #189,$33.57,,$35.35,$62.89,$120.29,$183.09,$238.00,$110.00,$110.00,,,$14.80,$36.99,,,$15.60,$38.99,,10,,,,,2026-02-26
12106587,Basketball Cards 2025 Topps Finest,Aaron Gordon [Purple Geometric Refractor] #189,$3.01,,$7.72,$14.72,$28.95,$43.61,$57.00,$26.00,$26.00,,,,$3.29,,,$1.70,$8.49,,10,,,,,2026-02-26
12106515,Basketball Cards 2025 Topps Finest,Aaron Gordon [Purple Refractor] #189,$1.25,,$6.13,$11.96,$23.72,$35.67,$46.00,$21.00,$21.00,,,,$1.39,,,$1.30,$6.69,,22,,,,,2026-02-26
12106530,Basketball Cards 2025 Topps Finest,Aaron Gordon [Purple X-Fractor] #189,$1.47,,$6.33,$12.31,$24.38,$36.68,$48.00,$22.00,$22.00,,,,$1.59,,,$1.40,$6.99,,9,,,,,2026-02-26
12106605,Basketball Cards 2025 Topps Finest,Aaron Gordon [Red Geometric Refractor] #189,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-26
12106570,Basketball Cards 2025 Topps Finest,Aaron Gordon [Red Refractor] #189,$33.00,,,,,,,,,,,$14.40,$35.99,,,,,,1,,,,,2026-02-26
12106599,Basketball Cards 2025 Topps Finest,Aaron Gordon [Red] #189,$30.00,,,,,,,,,,,$9.90,$32.99,,,,,,1,,,,,2026-02-26
12106495,Basketball Cards 2025 Topps Finest,Aaron Gordon [Refractor] #189,$6.99,,$11.31,$20.99,$40.83,$61.74,$80.00,$37.00,$37.00,,,$1.50,$7.69,,,$3.00,$11.99,,15,,,,,2026-02-26
12106512,Basketball Cards 2025 Topps Finest,Aaron Gordon [Sky Blue Refractor] #189,$1.50,,$6.35,$12.36,$24.46,$36.79,$48.00,$22.00,$22.00,,,,$1.69,,,$1.40,$6.99,,17,,,,,2026-02-26
12106578,Basketball Cards 2025 Topps Finest,Aaron Gordon [Superfractor] #189,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-26
12106503,Basketball Cards 2025 Topps Finest,Aaron Gordon [X-Fractor] #189,$0.99,,$5.89,$11.56,$22.95,$34.49,$45.00,$21.00,$21.00,,,,$1.09,,,$1.30,$6.49,,20,,,,,2026-02-26
12105037,Basketball Cards 2025 Topps Finest,Ace Bailey #105,$2.68,$5.55,$7.44,$14.24,$28.03,$42.22,$55.00,$25.00,$25.00,,,,$2.99,$1.20,$6.09,$1.60,$8.19,,114,,,,,2026-02-26
12107159,Basketball Cards 2025 Topps Finest,Ace Bailey #205,$7.24,,$16.50,$21.57,$41.91,$63.32,$82.00,$38.00,$38.00,,,$1.60,$7.99,,,$4.50,$17.99,,113,,,,,2026-02-26
12102594,Basketball Cards 2025 Topps Finest,Ace Bailey #5,$1.66,,$6.36,$12.37,$13.17,$18.00,$23.00,$11.00,$11.00,,,,$1.79,,,$1.40,$6.99,,191,,,,,2026-02-26
12104729,Basketball Cards 2025 Topps Finest,Ace Bailey [Black Geometric Refractor] #105,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-26
