id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
12949907,Basketball Cards 2025 Topps NBA Hoops,AJ Green #33,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-14
12949917,Basketball Cards 2025 Topps NBA Hoops,AJ Green [Fanatics] #33,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-14
12949914,Basketball Cards 2025 Topps NBA Hoops,AJ Green [Green Hoops] #33,$3.99,,,,,,,,,,,$0.90,$4.39,,,,,,1,,,,,2026-05-14
12949928,Basketball Cards 2025 Topps NBA Hoops,AJ Green [Light Burst Black] #33,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-14
12949923,Basketball Cards 2025 Topps NBA Hoops,AJ Green [Light Burst Blue] #33,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-14
12949926,Basketball Cards 2025 Topps NBA Hoops,AJ Green [Light Burst Gold] #33,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-14
12949925,Basketball Cards 2025 Topps NBA Hoops,AJ Green [Light Burst Green] #33,$1.31,,,,,,,,,,,,$1.39,,,,,,1,,,,,2026-05-14
12949927,Basketball Cards 2025 Topps NBA Hoops,AJ Green [Light Burst Orange] #33,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-14
12949930,Basketball Cards 2025 Topps NBA Hoops,AJ Green [Light Burst Platinum] #33,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-14
12949924,Basketball Cards 2025 Topps NBA Hoops,AJ Green [Light Burst Purple] #33,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-14
12949929,Basketball Cards 2025 Topps NBA Hoops,AJ Green [Light Burst Red] #33,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-14
12949918,Basketball Cards 2025 Topps NBA Hoops,AJ Green [Light Burst] #33,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-14
12949916,Basketball Cards 2025 Topps NBA Hoops,AJ Green [Orange Hoops] #33,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-14
12949912,Basketball Cards 2025 Topps NBA Hoops,AJ Green [Pixel Burst Black] #33,$19.99,,,,,,,,,,,$6.60,$21.99,,,,,,1,,,,,2026-05-14
12949908,Basketball Cards 2025 Topps NBA Hoops,AJ Green [Pixel Burst Blue] #33,$2.00,,,,,,,,,,,,$2.19,,,,,,1,,,,,2026-05-14
12949910,Basketball Cards 2025 Topps NBA Hoops,AJ Green [Pixel Burst Gold] #33,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-14
12949909,Basketball Cards 2025 Topps NBA Hoops,AJ Green [Pixel Burst Green] #33,$2.85,,$7.60,$14.56,$28.67,$43.41,$56.00,$26.00,$26.00,,,,$3.09,,,$1.70,$8.39,,21,,,,,2026-05-14
12949911,Basketball Cards 2025 Topps NBA Hoops,AJ Green [Pixel Burst Orange] #33,$7.16,,,,,,,,,,,$1.60,$7.89,,,,,,1,,,,,2026-05-14
12949915,Basketball Cards 2025 Topps NBA Hoops,AJ Green [Pixel Burst Platinum] #33,,,,,,,,,,,,,,,,,,,0,,,,,2026-05-14
