id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
235501,Football Cards 2019 Donruss Optic Downtown,Alvin Kamara #DT-5,$474.51,$399.00,,$660.00,$726.00,$1599.99,$2080.00,$960.00,$960.00,,,$313.20,$522.00,$219.50,$439.00,,,,6,,,,,2019-06-01
235502,Football Cards 2019 Donruss Optic Downtown,Andrew Luck #DT-6,$113.04,,,,,$2555.00,$3322.00,$1533.00,$1533.00,,,$62.00,$124.00,,,,,,2,,,,,2019-06-01
235511,Football Cards 2019 Donruss Optic Downtown,Barry Sanders #DT-15,$287.50,,,$1333.82,$1467.00,$1601.00,$2081.00,$961.00,$961.00,,,$158.00,$316.00,,,,,,3,,,,,2019-06-01
235508,Football Cards 2019 Donruss Optic Downtown,Brett Favre #DT-12,,,,,,$2500.00,$3250.00,$1500.00,$1500.00,,,,,,,,,,2,,,,,2019-06-01
235509,Football Cards 2019 Donruss Optic Downtown,Brian Dawkins #DT-13,$485.00,,,$1552.28,$1708.00,$1863.00,$2422.00,$1118.00,$1118.00,,,$320.40,$534.00,,,,,,4,,,,,2019-06-01
235506,Football Cards 2019 Donruss Optic Downtown,Dak Prescott #DT-10,,,,$389.07,$428.00,$493.00,$641.00,$296.00,$296.00,,,,,,,,,,3,,,,,2019-06-01
235507,Football Cards 2019 Donruss Optic Downtown,Dan Marino #DT-11,$302.53,,,$428.00,$471.00,$1187.50,$1544.00,$713.00,$713.00,,,$166.50,$333.00,,,,,,4,,,,,2019-06-01
235513,Football Cards 2019 Donruss Optic Downtown,Daniel Jones #DT-17,$337.44,,,$340.04,$600.00,$875.97,$1139.00,$526.00,$526.00,,,$185.50,$371.00,,,,,,11,,,,,2019-06-01
235515,Football Cards 2019 Donruss Optic Downtown,Drew Lock #DT-19,$289.35,,$200.00,$315.00,$347.00,$396.96,$516.00,$238.00,$238.00,,,$159.00,$318.00,,,$110.00,$220.00,,7,,,,,2019-06-01
235514,Football Cards 2019 Donruss Optic Downtown,Dwayne Haskins #DT-18,$84.06,,,$137.50,$157.50,,,,,,,$36.80,$91.99,,,,,,5,,,,,2019-06-01
235500,Football Cards 2019 Donruss Optic Downtown,J.J. Watt #DT-4,$1474.77,,,$999.99,$1100.00,,,,,,,$973.20,$1622.00,,,,,,4,,,,,2019-06-01
235503,Football Cards 2019 Donruss Optic Downtown,Jared Goff #DT-7,$142.50,,,$1061.74,$1168.00,$1274.00,$1656.00,$764.00,$1300.00,,,$78.50,$157.00,,,,,,7,,,,,2019-06-01
235510,Football Cards 2019 Donruss Optic Downtown,Joe Montana #DT-14,$800.00,,,$500.01,$550.00,$2179.59,$2833.00,$1308.00,$1308.00,,,$528.00,$880.00,,,,,,4,,,,,2019-06-01
235498,Football Cards 2019 Donruss Optic Downtown,JuJu Smith Schuster #DT-2,$155.00,,,$246.25,$271.00,$546.00,$710.00,$328.00,$328.00,,,$85.50,$171.00,,,,,,4,,,,,2019-06-01
235499,Football Cards 2019 Donruss Optic Downtown,Khalil Mack #DT-3,$699.99,,,,,$355.09,$462.00,$213.00,$213.00,,,$462.00,$770.00,,,,,,5,,,,,2019-06-01
235512,Football Cards 2019 Donruss Optic Downtown,Kyler Murray #DT-16,$730.00,,,$1034.70,$1113.00,$1136.00,$1477.00,$682.00,$682.00,,,$481.80,$803.00,,,,,,5,,,,,2019-06-01
235516,Football Cards 2019 Donruss Optic Downtown,Nick Bosa #DT-20,$435.00,,,$1149.00,$1264.00,$1379.00,$1793.00,$827.00,$827.00,,,$239.50,$479.00,,,,,,4,,,,,2019-06-01
235504,Football Cards 2019 Donruss Optic Downtown,Odell Beckham Jr. #DT-8,$599.99,,,$586.68,$645.00,$704.00,$915.00,$422.00,$422.00,,,$396.00,$660.00,,,,,,6,,,,,2019-06-01
235505,Football Cards 2019 Donruss Optic Downtown,Philip Rivers #DT-9,$224.99,,,$292.50,$304.00,$310.59,$404.00,$186.00,$186.00,,,$123.50,$247.00,,,,,,3,,,,,2019-06-01
235497,Football Cards 2019 Donruss Optic Downtown,Phillip Lindsay #DT-1,$180.76,,,$373.99,$411.00,,,,,,,$99.50,$199.00,,,,,,6,,,,,2019-06-01
