id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
234492,Football Cards 2019 Donruss Optic Rated Rookie Autographs,A.J. Brown #164,$155.00,,,$79.99,$88.00,$285.00,$371.00,$171.00,$171.00,,,$85.50,$171.00,,,,,,3,,,,,2019-12-20
234540,Football Cards 2019 Donruss Optic Rated Rookie Autographs,A.J. Brown [Black Pandora] #164,,,,,,,,,,,,,,,,,,,0,,,,,2019-12-20
234588,Football Cards 2019 Donruss Optic Rated Rookie Autographs,A.J. Brown [Blue] #164,$337.96,,,,,,,,,,,$186.00,$372.00,,,,,,1,,,,,2019-12-20
234636,Football Cards 2019 Donruss Optic Rated Rookie Autographs,A.J. Brown [Bronze] #164,$62.95,,,,,,,,,,,$27.60,$68.99,,,,,,1,,,,,2019-12-20
12092354,Football Cards 2019 Donruss Optic Rated Rookie Autographs,A.J. Brown [Gold Vinyl] #164,,,,,,,,,,,,,,,,,,,0,,,,,2019-12-20
234684,Football Cards 2019 Donruss Optic Rated Rookie Autographs,A.J. Brown [Gold] #164,,,,,,,,,,,,,,,,,,,0,,,,,2019-12-20
234732,Football Cards 2019 Donruss Optic Rated Rookie Autographs,A.J. Brown [Green] #164,,,,,,,,,,,,,,,,,,,0,,,,,2019-12-20
234780,Football Cards 2019 Donruss Optic Rated Rookie Autographs,A.J. Brown [Holo] #164,$151.14,,,$230.00,$253.00,$750.00,$975.00,$450.00,$450.00,,,$83.00,$166.00,,,,,,3,,,,,2019-12-20
234876,Football Cards 2019 Donruss Optic Rated Rookie Autographs,A.J. Brown [Purple Stars] #164,$449.99,,,$260.00,$286.00,,,,,,,$247.50,$495.00,,,,,,1,,,,,2019-12-20
234828,Football Cards 2019 Donruss Optic Rated Rookie Autographs,A.J. Brown [Purple] #164,,,,,,,,,,,,,,,,,,,0,,,,,2019-12-20
234924,Football Cards 2019 Donruss Optic Rated Rookie Autographs,A.J. Brown [Red] #164,$217.68,,,$280.99,$309.00,,,,,,,$119.50,$239.00,,,,,,2,,,,,2019-12-20
234509,Football Cards 2019 Donruss Optic Rated Rookie Autographs,Alexander Mattison #181,$15.25,,,,,$5.50,$7.00,$3.00,$3.00,,,$4.30,$16.99,,,,,,2,,,,,2019-12-20
234557,Football Cards 2019 Donruss Optic Rated Rookie Autographs,Alexander Mattison [Black Pandora] #181,,,,,,,,,,,,,,,,,,,0,,,,,2019-12-20
