id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
2747942,Football Cards 2021 Panini Absolute Kaboom,Aaron Donald #K11,$504.50,,$300.00,$520.71,$573.00,$2125.00,$2763.00,$1275.00,$1275.00,,,$333.00,$555.00,,,$165.00,$330.00,,50,,,,,2021-06-01
2747991,Football Cards 2021 Panini Absolute Kaboom,Aaron Donald [Gold] #K11,$1900.00,,,$3599.06,$3959.00,$11499.99,$14950.00,$6900.00,$6900.00,,,$1254.00,$2090.00,,,,,,3,,,,,2021-06-01
2747941,Football Cards 2021 Panini Absolute Kaboom,Aaron Rodgers #K10,$619.22,,$445.00,$866.43,$953.00,$1190.78,$1548.00,$714.00,$714.00,,,$408.60,$681.00,,,$245.00,$490.00,,35,,,,,2021-06-01
2747990,Football Cards 2021 Panini Absolute Kaboom,Aaron Rodgers [Gold] #K10,,,,,,,,,,,,,,,,,,,0,,,,,2021-06-01
2747962,Football Cards 2021 Panini Absolute Kaboom,Baker Mayfield #K32,$483.66,,$175.00,$550.00,$605.00,$1800.00,$2340.00,$1080.00,$380.00,,,$319.20,$532.00,,,$96.50,$193.00,,67,,,,,2021-06-01
2748013,Football Cards 2021 Panini Absolute Kaboom,Baker Mayfield [Gold] #K32,$1150.00,,,$565.67,$622.00,,,,,,,$759.00,$1265.00,,,,,,2,,,,,2021-06-01
2747939,Football Cards 2021 Panini Absolute Kaboom,Barry Sanders #K8,$946.38,,$1136.00,$1625.00,$1788.00,$2466.33,$3206.00,$1480.00,$1480.00,,,$624.60,$1041.00,,,$750.00,$1250.00,,27,,,,,2021-06-01
2747988,Football Cards 2021 Panini Absolute Kaboom,Barry Sanders [Gold] #K8,$1998.12,,,$1675.20,$1843.00,,,,,,,$1318.80,$2198.00,,,,,,2,,,,,2021-06-01
2747952,Football Cards 2021 Panini Absolute Kaboom,Ben Roethlisberger #K22,$661.00,,$485.00,$704.57,$870.00,$887.65,$1154.00,$533.00,$533.00,,,$436.20,$727.00,,,$320.40,$534.00,,37,,,,,2021-06-01
2748002,Football Cards 2021 Panini Absolute Kaboom,Ben Roethlisberger [Gold] #K22,,,,,,$4705.00,$6117.00,$2823.00,$2823.00,,,,,,,,,,1,,,,,2021-06-01
2747969,Football Cards 2021 Panini Absolute Kaboom,Charles Woodson #K39,$540.47,,$687.00,$756.00,$790.00,$806.37,$1048.00,$484.00,$484.00,,,$357.00,$595.00,,,$453.60,$756.00,,43,,,,,2021-06-01
2748020,Football Cards 2021 Panini Absolute Kaboom,Charles Woodson [Gold] #K39,$1075.00,,,$1300.01,$1430.00,,,,,,,$709.80,$1183.00,,,,,,2,,,,,2021-06-01
2747950,Football Cards 2021 Panini Absolute Kaboom,Chase Young #K20,$250.00,,$194.83,$262.11,$262.47,$432.83,$563.00,$260.00,$235.00,,,$137.50,$275.00,,,$107.00,$214.00,,71,,,,,2021-06-01
