id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
3798021,Football Cards 2021 Panini Donruss Optic,A. J. Brown #121,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2022-07-22
3798318,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Aqua] #121,$1.99,,,$5.50,$6.00,,,,,,,,$2.19,,,,,,5,,,,,2022-07-22
3798518,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Black Pandora] #121,$8.50,,,,,$68.00,$88.00,$41.00,$41.00,,,$1.90,$9.39,,,,,,3,,,,,2022-07-22
10768603,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Black] #121,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3798723,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Blue] #121,$2.11,,,,,,,,,,,,$2.29,,,,,,3,,,,,2022-07-22
3798927,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Fire] #121,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3799129,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Freedom] #121,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
10768930,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Gold Vinyl] #121,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3799329,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Gold] #121,,,,$42.50,$47.00,,,,,,,,,,,,,,2,,,,,2022-07-22
3799528,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Green] #121,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3799728,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Holo] #121,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3799928,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Ice] #121,$14.00,,,,,,,,,,,$3.80,$14.99,,,,,,1,,,,,2022-07-22
3800128,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Lime Green] #121,$2.51,,,,,,,,,,,,$2.79,,,,,,2,,,,,2022-07-22
3800328,Football Cards 2021 Panini Donruss Optic,A. J. Brown [One Hundred] #121,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3800728,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Orange Scope] #121,$5.87,,,$5.00,$6.00,,,,,,,$1.30,$6.49,,,,,,2,,,,,2022-07-22
3800528,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Orange] #121,$2.50,,,$15.00,$17.00,$39.99,$52.00,$24.00,$24.00,,,,$2.79,,,,,,4,,,,,2022-07-22
3800927,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Pink Velocity] #121,$5.06,,,,,,,,,,,$1.10,$5.59,,,,,,3,,,,,2022-07-22
10769216,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Printing Plate] #121,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3801331,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Purple Stars] #121,$8.68,,,,,,,,,,,$1.90,$9.59,,,,,,1,,,,,2022-07-22
3801129,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Purple] #121,$9.23,,,$14.50,$16.00,,,,,,,$2.00,$9.99,,,,,,2,,,,,2022-07-22
3801733,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Red Stars] #121,$3.33,,,,,,,,,,,,$3.69,,,,,,1,,,,,2022-07-22
3801534,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Red] #121,$2.87,,,,,,,,,,,,$3.19,,,,,,1,,,,,2022-07-22
3801934,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Rocket] #121,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3802135,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Silver Circles] #121,$2.85,,,,,$66.00,$86.00,$40.00,$25.00,,,,$3.09,,,,,,2,,,,,2022-07-22
3802335,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Stars] #121,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3802535,Football Cards 2021 Panini Donruss Optic,A. J. Brown [Wave] #121,$1.50,,,,,,,,,,,,$1.69,,,,,,3,,,,,2022-07-22
3802736,Football Cards 2021 Panini Donruss Optic,A. J. Brown [White Sparkle] #121,$2.47,,,,,,,,,,,,$2.69,,,,,,1,,,,,2022-07-22
3798076,Football Cards 2021 Panini Donruss Optic,A. J. Green #176,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2022-07-22
3798373,Football Cards 2021 Panini Donruss Optic,A. J. Green [Aqua] #176,$1.00,,,,,,,,,,,,$1.09,,,,,,1,,,,,2022-07-22
3798574,Football Cards 2021 Panini Donruss Optic,A. J. Green [Black Pandora] #176,$8.17,,,,,,,,,,,$1.80,$8.99,,,,,,1,,,,,2022-07-22
10768706,Football Cards 2021 Panini Donruss Optic,A. J. Green [Black] #176,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3798780,Football Cards 2021 Panini Donruss Optic,A. J. Green [Blue] #176,$1.18,,,,,,,,,,,,$1.29,,,,,,1,,,,,2022-07-22
3798984,Football Cards 2021 Panini Donruss Optic,A. J. Green [Fire] #176,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3799184,Football Cards 2021 Panini Donruss Optic,A. J. Green [Freedom] #176,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
10769000,Football Cards 2021 Panini Donruss Optic,A. J. Green [Gold Vinyl] #176,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3799384,Football Cards 2021 Panini Donruss Optic,A. J. Green [Gold] #176,$20.34,,,,,,,,,,,$6.60,$21.99,,,,,,2,,,,,2022-07-22
3799583,Football Cards 2021 Panini Donruss Optic,A. J. Green [Green] #176,$2.55,,,,,,,,,,,,$2.79,,,,,,1,,,,,2022-07-22
3799783,Football Cards 2021 Panini Donruss Optic,A. J. Green [Holo] #176,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3799983,Football Cards 2021 Panini Donruss Optic,A. J. Green [Ice] #176,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3800183,Football Cards 2021 Panini Donruss Optic,A. J. Green [Lime Green] #176,$3.75,,,,,,,,,,,$0.80,$4.09,,,,,,1,,,,,2022-07-22
3800383,Football Cards 2021 Panini Donruss Optic,A. J. Green [One Hundred] #176,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3800783,Football Cards 2021 Panini Donruss Optic,A. J. Green [Orange Scope] #176,$1.25,,,,,,,,,,,,$1.39,,,,,,1,,,,,2022-07-22
3800583,Football Cards 2021 Panini Donruss Optic,A. J. Green [Orange] #176,$1.23,,,,,,,,,,,,$1.39,,,,,,2,,,,,2022-07-22
3800982,Football Cards 2021 Panini Donruss Optic,A. J. Green [Pink Velocity] #176,$2.12,,,,,,,,,,,,$2.29,,,,,,1,,,,,2022-07-22
10769312,Football Cards 2021 Panini Donruss Optic,A. J. Green [Printing Plate] #176,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3801388,Football Cards 2021 Panini Donruss Optic,A. J. Green [Purple Stars] #176,$18.00,,,,,,,,,,,$5.00,$19.99,,,,,,0,,,,,2022-07-22
3801184,Football Cards 2021 Panini Donruss Optic,A. J. Green [Purple] #176,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2022-07-22
3801788,Football Cards 2021 Panini Donruss Optic,A. J. Green [Red Stars] #176,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2022-07-22
3801588,Football Cards 2021 Panini Donruss Optic,A. J. Green [Red] #176,$2.39,,,,,,,,,,,,$2.59,,,,,,1,,,,,2022-07-22
3801990,Football Cards 2021 Panini Donruss Optic,A. J. Green [Rocket] #176,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3802190,Football Cards 2021 Panini Donruss Optic,A. J. Green [Silver Circles] #176,$1.97,,,,,,,,,,,,$2.19,,,,,,1,,,,,2022-07-22
3802390,Football Cards 2021 Panini Donruss Optic,A. J. Green [Stars] #176,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3802590,Football Cards 2021 Panini Donruss Optic,A. J. Green [Wave] #176,$1.44,,,,,,,,,,,,$1.59,,,,,,1,,,,,2022-07-22
3802791,Football Cards 2021 Panini Donruss Optic,A. J. Green [White Sparkle] #176,$12.04,,,,,,,,,,,$3.30,$12.99,,,,,,0,,,,,2022-07-22
3798087,Football Cards 2021 Panini Donruss Optic,Aaron Donald #187,$0.89,,,,,,,,,,,,$0.99,,,,,,3,,,,,2022-07-22
3798384,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Aqua] #187,$3.49,,$9.99,,,,,,,,,$0.80,$3.79,,,$2.80,$10.99,,5,,,,,2022-07-22
3798585,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Black Pandora] #187,$22.50,,,$65.10,$72.00,,,,,,,$7.50,$24.99,,,,,,3,,,,,2022-07-22
10768718,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Black] #187,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3798791,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Blue] #187,$4.97,,,,,,,,,,,$1.10,$5.49,,,,,,4,,,,,2022-07-22
3798995,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Fire] #187,$5.00,,,,,$31.00,$40.00,$19.00,$19.00,,,$1.10,$5.49,,,,,,4,,,,,2022-07-22
3799195,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Freedom] #187,$4.38,,,,,,,,,,,$1.00,$4.79,,,,,,1,,,,,2022-07-22
10769011,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Gold Vinyl] #187,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3799395,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Gold] #187,$850.00,,,$59.00,$65.00,$300.00,$390.00,$180.00,$180.00,,,$561.00,$935.00,,,,,,3,,,,,2022-07-22
3799594,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Green] #187,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3799794,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Holo] #187,$1.72,,,,,,,,,,,,$1.89,,,,,,4,,,,,2022-07-22
3799994,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Ice] #187,$15.50,,,$41.87,$46.00,,,,,,,$4.30,$16.99,,,,,,2,,,,,2022-07-22
3800194,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Lime Green] #187,$7.00,,,,,,,,,,,$1.50,$7.69,,,,,,2,,,,,2022-07-22
3800394,Football Cards 2021 Panini Donruss Optic,Aaron Donald [One Hundred] #187,$9.49,,,,,,,,,,,$2.00,$9.99,,,,,,1,,,,,2022-07-22
3808273,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Orange Scope] #187,$7.84,,,,,,,,,,,$1.70,$8.59,,,,,,1,,,,,2022-07-22
3800594,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Orange] #187,$2.29,,,,,,,,,,,,$2.49,,,,,,4,,,,,2022-07-22
3800993,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Pink Velocity] #187,$3.36,,,$8.50,$9.00,,,,,,,,$3.69,,,,,,3,,,,,2022-07-22
10769325,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Printing Plate] #187,,,,,,,,,,,,,,,,,,,0,,,,,2022-07-22
3801399,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Purple Stars] #187,$15.50,,,,,,,,,,,$4.30,$16.99,,,,,,2,,,,,2022-07-22
3801195,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Purple] #187,$4.99,,,,,,,,,,,$1.10,$5.49,,,,,,2,,,,,2022-07-22
3801799,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Red Stars] #187,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2022-07-22
3801599,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Red] #187,$2.62,,,,,,,,,,,,$2.89,,,,,,4,,,,,2022-07-22
3802001,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Rocket] #187,$6.80,,,,,$24.00,$31.00,$14.00,$14.00,,,$1.50,$7.49,,,,,,6,,,,,2022-07-22
3802201,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Silver Circles] #187,$3.44,,,,,,,,,,,$0.80,$3.79,,,,,,4,,,,,2022-07-22
3802401,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Stars] #187,$1.78,,$6.42,$12.11,$20.00,$19.99,$26.00,$12.00,$12.00,,,,$1.99,,,$1.40,$7.09,,7,,,,,2022-07-22
3802601,Football Cards 2021 Panini Donruss Optic,Aaron Donald [Wave] #187,$2.06,,,,,,,,,,,,$2.29,,,,,,2,,,,,2022-07-22
3802802,Football Cards 2021 Panini Donruss Optic,Aaron Donald [White Sparkle] #187,$3.26,,,,,,,,,,,,$3.59,,,,,,2,,,,,2022-07-22
3797991,Football Cards 2021 Panini Donruss Optic,Aaron Jones #91,$0.99,,,,,,,,,,,,$1.09,,,,,,3,,,,,2022-07-22
3798288,Football Cards 2021 Panini Donruss Optic,Aaron Jones [Aqua] #91,$1.99,,,,,,,,,,,,$2.19,,,,,,4,,,,,2022-07-22
