id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
2941008,Football Cards 2021 Panini XR,A. J. Brown #97,,,,,,,,,,,,,,,,,,,0,,,,,2021-06-01
2941205,Football Cards 2021 Panini XR,A. J. Brown [Blue] #97,$2.30,,,,,,,,,,,,$2.49,,,,,,1,,,,,2021-06-01
2941304,Football Cards 2021 Panini XR,A. J. Brown [Gold] #97,$19.99,,,,,,,,,,,$6.60,$21.99,,,,,,1,,,,,2021-06-01
2941404,Football Cards 2021 Panini XR,A. J. Brown [Green] #97,,,,,,,,,,,,,,,,,,,0,,,,,2021-06-01
2941500,Football Cards 2021 Panini XR,A. J. Brown [Orange] #97,$3.00,,,,,,,,,,,,$3.29,,,,,,2,,,,,2021-06-01
2941601,Football Cards 2021 Panini XR,A. J. Brown [Purple] #97,,,,,,,,,,,,,,,,,,,0,,,,,2021-06-01
2941701,Football Cards 2021 Panini XR,A. J. Brown [Red] #97,$2.64,,,,,,,,,,,,$2.89,,,,,,2,,,,,2021-06-01
2941801,Football Cards 2021 Panini XR,A. J. Brown [Teal] #97,$4.00,,,,,,,,,,,$0.90,$4.39,,,,,,1,,,,,2021-06-01
2941900,Football Cards 2021 Panini XR,A. J. Brown [White] #97,$3.95,,,,,,,,,,,$0.90,$4.39,,,,,,0,,,,,2021-06-01
2942003,Football Cards 2021 Panini XR,A. J. Brown [X] #97,,,,,,,,,,,,,,,,,,,0,,,,,2021-06-01
2940968,Football Cards 2021 Panini XR,Aaron Donald #57,$2.25,,,,,,,,,,,,$2.49,,,,,,2,,,,,2021-06-01
2942080,Football Cards 2021 Panini XR,Aaron Donald [Autograph Gold] #57,$65.01,,,,,,,,,,,$28.80,$71.99,,,,,,2,,,,,2021-06-01
2942131,Football Cards 2021 Panini XR,Aaron Donald [Autograph Green] #57,$115.00,,,,,,,,,,,$63.50,$127.00,,,,,,1,,,,,2021-06-01
2942180,Football Cards 2021 Panini XR,Aaron Donald [Autograph Purple] #57,$37.50,,,,,,,,,,,$16.40,$40.99,,,,,,1,,,,,2021-06-01
2942029,Football Cards 2021 Panini XR,Aaron Donald [Autograph] #57,$52.60,,$99.99,,,,,,,,,$23.20,$57.99,,,$55.00,$110.00,,3,,,,,2021-06-01
2941165,Football Cards 2021 Panini XR,Aaron Donald [Blue] #57,$3.00,,,,,,,,,,,,$3.29,,,,,,2,,,,,2021-06-01
2943825,Football Cards 2021 Panini XR,Aaron Donald [Gold] #57,$31.00,,,,,,,,,,,$10.20,$33.99,,,,,,1,,,,,2021-06-01
2941364,Football Cards 2021 Panini XR,Aaron Donald [Green] #57,,,,,,,,,,,,,,,,,,,0,,,,,2021-06-01
2941459,Football Cards 2021 Panini XR,Aaron Donald [Orange] #57,$4.95,,,,,,,,,,,$1.10,$5.49,,,,,,1,,,,,2021-06-01
2941561,Football Cards 2021 Panini XR,Aaron Donald [Purple] #57,$7.20,,,,,,,,,,,$1.60,$7.89,,,,,,1,,,,,2021-06-01
2941661,Football Cards 2021 Panini XR,Aaron Donald [Red] #57,$1.99,,,,,,,,,,,,$2.19,,,,,,2,,,,,2021-06-01
2941761,Football Cards 2021 Panini XR,Aaron Donald [Teal] #57,$2.99,,,,,,,,,,,,$3.29,,,,,,1,,,,,2021-06-01
2941861,Football Cards 2021 Panini XR,Aaron Donald [White] #57,$12.77,,,,,,,,,,,$3.50,$13.99,,,,,,1,,,,,2021-06-01
2941959,Football Cards 2021 Panini XR,Aaron Donald [X] #57,$31.00,,,,,,,,,,,$10.20,$33.99,,,,,,1,,,,,2021-06-01
2941062,Football Cards 2021 Panini XR,Aaron Robinson #152,$1.62,,,,,,,,,,,,$1.79,,,,,,1,,,,,2021-06-01
2942327,Football Cards 2021 Panini XR,Aaron Robinson [Autograph Gold] #152,$1.25,,,,,,,,,,,,$1.39,,,,,,1,,,,,2021-06-01
2942415,Football Cards 2021 Panini XR,Aaron Robinson [Autograph Green] #152,,,,,,,,,,,,,,,,,,,0,,,,,2021-06-01
2942498,Football Cards 2021 Panini XR,Aaron Robinson [Autograph Orange] #152,$4.99,,,,,,,,,,,$1.10,$5.49,,,,,,0,,,,,2021-06-01
2942582,Football Cards 2021 Panini XR,Aaron Robinson [Autograph Purple] #152,$39.99,,,,,,,,,,,$17.60,$43.99,,,,,,1,,,,,2021-06-01
2942245,Football Cards 2021 Panini XR,Aaron Robinson [Autograph] #152,$1.94,,,$11.51,$13.00,,,,,,,,$2.09,,,,,,2,,,,,2021-06-01
2942677,Football Cards 2021 Panini XR,Aaron Robinson [Blue] #152,$2.70,,,,,,,,,,,,$2.99,,,,,,1,,,,,2021-06-01
2942776,Football Cards 2021 Panini XR,Aaron Robinson [Gold] #152,$7.14,,,,,,,,,,,$1.60,$7.89,,,,,,0,,,,,2021-06-01
2942875,Football Cards 2021 Panini XR,Aaron Robinson [Green] #152,,,,,,,,,,,,,,,,,,,0,,,,,2021-06-01
2942975,Football Cards 2021 Panini XR,Aaron Robinson [Orange] #152,$1.20,,,,,,,,,,,,$1.29,,,,,,1,,,,,2021-06-01
2943074,Football Cards 2021 Panini XR,Aaron Robinson [Purple] #152,,,,,,,,,,,,,,,,,,,0,,,,,2021-06-01
2943174,Football Cards 2021 Panini XR,Aaron Robinson [Red] #152,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2021-06-01
2943275,Football Cards 2021 Panini XR,Aaron Robinson [Teal] #152,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2021-06-01
2943374,Football Cards 2021 Panini XR,Aaron Robinson [White] #152,$2.08,,,,,,,,,,,,$2.29,,,,,,1,,,,,2021-06-01
2943474,Football Cards 2021 Panini XR,Aaron Robinson [X] #152,$6.00,,,,,,,,,,,$1.30,$6.59,,,,,,1,,,,,2021-06-01
2940947,Football Cards 2021 Panini XR,Aaron Rodgers #36,$2.89,,,,,,,,,,,,$3.19,,,,,,3,,,,,2021-06-01
2942072,Football Cards 2021 Panini XR,Aaron Rodgers [Autograph Gold] #36,$190.15,,,$350.00,$385.00,,,,,,,$104.50,$209.00,,,,,,4,,,,,2021-06-01
2942122,Football Cards 2021 Panini XR,Aaron Rodgers [Autograph Green] #36,,,,,,,,,,,,,,,,,,,0,,,,,2021-06-01
2942173,Football Cards 2021 Panini XR,Aaron Rodgers [Autograph Purple] #36,$240.69,,,,,,,,,,,$132.50,$265.00,,,,,,1,,,,,2021-06-01
2942021,Football Cards 2021 Panini XR,Aaron Rodgers [Autograph] #36,$211.62,,,,,,,,,,,$116.50,$233.00,,,,,,1,,,,,2021-06-01
2941146,Football Cards 2021 Panini XR,Aaron Rodgers [Blue] #36,$2.26,,$5.00,,,,,,,,,,$2.49,,,$1.10,$5.49,,3,,,,,2021-06-01
