id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
4493566,Football Cards 2022 Panini Absolute Kaboom Horizontal,Breece Hall #KH-9,$460.00,,$369.96,$401.68,$598.00,$610.00,$793.00,$366.00,$366.00,,,$303.60,$506.00,,,$203.50,$407.00,,21,,,,,2022-06-01
4493576,Football Cards 2022 Panini Absolute Kaboom Horizontal,Breece Hall [Gold] #KH-9,$5500.00,,,$4000.00,$4400.00,$5000.00,$6500.00,$3000.00,$3000.00,,,$3630.00,$6050.00,,,,,,3,,,,,2022-06-01
4493567,Football Cards 2022 Panini Absolute Kaboom Horizontal,Chris Olave #KH-10,$500.00,,$401.78,$495.00,$524.50,$674.99,$877.00,$405.00,$550.00,,,$330.00,$550.00,,,$221.00,$442.00,,22,,,,,2022-06-01
4493577,Football Cards 2022 Panini Absolute Kaboom Horizontal,Chris Olave [Gold] #KH-10,,,,,,$3175.00,$4128.00,$1905.00,$1905.00,,,,,,,,,,1,,,,,2022-06-01
4493563,Football Cards 2022 Panini Absolute Kaboom Horizontal,Deebo Samuel #KH-6,$445.00,,$301.42,$513.25,$599.99,$698.00,$907.00,$419.00,$419.00,,,$245.00,$490.00,,,$166.00,$332.00,,34,,,,,2022-06-01
4493573,Football Cards 2022 Panini Absolute Kaboom Horizontal,Deebo Samuel [Gold] #KH-6,$1400.01,,,$1967.50,$2164.00,$2361.00,$3069.00,$1417.00,$1417.00,,,$924.00,$1540.00,,,,,,3,,,,,2022-06-01
4493560,Football Cards 2022 Panini Absolute Kaboom Horizontal,Joe Burrow #KH-3,$725.43,,$600.32,$892.50,$1014.85,$1331.83,$1731.00,$799.00,$799.00,,,$478.80,$798.00,,,$396.00,$660.00,,18,,,,,2022-06-01
4493570,Football Cards 2022 Panini Absolute Kaboom Horizontal,Joe Burrow [Gold] #KH-3,,,,,,$11250.00,$14625.00,$6750.00,$6750.00,,,,,,,,,,1,,,,,2022-06-01
4493561,Football Cards 2022 Panini Absolute Kaboom Horizontal,Jonathan Taylor #KH-4,$499.99,,$388.12,$581.00,$660.00,$673.44,$875.00,$404.00,$404.00,,,$330.00,$550.00,,,$213.50,$427.00,,50,,,,,2022-06-01
4493571,Football Cards 2022 Panini Absolute Kaboom Horizontal,Jonathan Taylor [Gold] #KH-4,$1275.00,,,$1087.50,$1196.00,,,,,,,$841.80,$1403.00,,,,,,3,,,,,2022-06-01
4493565,Football Cards 2022 Panini Absolute Kaboom Horizontal,Kenny Pickett #KH-8,$200.93,,$300.00,$330.00,$395.98,$396.00,$515.00,$238.00,$238.00,,,$110.50,$221.00,,,$165.00,$330.00,,25,,,,,2022-06-01
4493575,Football Cards 2022 Panini Absolute Kaboom Horizontal,Kenny Pickett [Gold] #KH-8,,,,,,$2250.00,$2925.00,$1350.00,$1350.00,,,,,,,,,,1,,,,,2022-06-01
4493559,Football Cards 2022 Panini Absolute Kaboom Horizontal,Matthew Stafford #KH-2,$495.00,,$342.41,$512.50,$728.00,$743.00,$966.00,$446.00,$519.92,,,$327.00,$545.00,,,$188.50,$377.00,,31,,,,,2022-06-01
4493569,Football Cards 2022 Panini Absolute Kaboom Horizontal,Matthew Stafford [Gold] #KH-2,$2631.36,,,,,$1999.00,$2599.00,$1199.00,$1199.00,,,$1737.00,$2895.00,,,,,,3,,,,,2022-06-01
4493564,Football Cards 2022 Panini Absolute Kaboom Horizontal,Micah Parsons #KH-7,$473.00,,$375.86,$555.00,$599.99,$1001.52,$1302.00,$601.00,$610.00,,,$312.00,$520.00,,,$206.50,$413.00,,18,,,,,2022-06-01
4493574,Football Cards 2022 Panini Absolute Kaboom Horizontal,Micah Parsons [Gold] #KH-7,$2474.05,,,,,,,,,,,$1632.60,$2721.00,,,,,,2,,,,,2022-06-01
4493562,Football Cards 2022 Panini Absolute Kaboom Horizontal,Nick Chubb #KH-5,$394.86,,$316.31,$473.75,$554.38,$615.01,$800.00,$369.00,$369.00,,,$217.00,$434.00,,,$174.00,$348.00,,35,,,,,2022-06-01
4493572,Football Cards 2022 Panini Absolute Kaboom Horizontal,Nick Chubb [Gold] #KH-5,$1800.00,,,,,$1983.00,$2578.00,$1190.00,$1190.00,,,$1188.00,$1980.00,,,,,,2,,,,,2022-06-01
4493558,Football Cards 2022 Panini Absolute Kaboom Horizontal,Tom Brady #KH-1,$1200.00,,$890.00,$2352.54,$2588.00,$10280.81,$13365.00,$6168.00,$6168.00,,,$792.00,$1320.00,,,$587.40,$979.00,,10,,,,,2022-06-01
4493568,Football Cards 2022 Panini Absolute Kaboom Horizontal,Tom Brady [Gold] #KH-1,$9842.64,,,$16322.00,$17954.00,,,,,,,$6496.20,$10827.00,,,,,,2,,,,,2022-06-01
