id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
4493606,Football Cards 2022 Panini Absolute Kaboom Vertical,A. J. Brown #K29,,,,,,,,,,,,,,,,,,,0,,,,,2022-06-01
4493651,Football Cards 2022 Panini Absolute Kaboom Vertical,A. J. Brown [Gold] #K29,$3297.64,,,$1388.13,$1527.00,$2020.00,$2626.00,$1212.00,$1212.00,,,$2176.20,$3627.00,,,,,,6,,,,,2022-06-01
4493586,Football Cards 2022 Panini Absolute Kaboom Vertical,Aaron Rodgers #K10,$577.05,,,$590.85,$650.00,$811.00,$1054.00,$487.00,$487.00,,,$381.00,$635.00,,,,,,6,,,,,2022-06-01
4493632,Football Cards 2022 Panini Absolute Kaboom Vertical,Aaron Rodgers [Gold] #K10,$1750.00,,,,,,,,,,,$1155.00,$1925.00,,,,,,0,,,,,2022-06-01
4493595,Football Cards 2022 Panini Absolute Kaboom Vertical,Alvin Kamara #K18,$750.00,,,$565.00,$622.00,$747.64,$972.00,$449.00,$340.00,,,$495.00,$825.00,,,,,,5,,,,,2022-06-01
4493640,Football Cards 2022 Panini Absolute Kaboom Vertical,Alvin Kamara [Gold] #K18,,,,,,$1400.00,$1820.00,$840.00,$840.00,,,,,,,,,,1,,,,,2022-06-01
4493602,Football Cards 2022 Panini Absolute Kaboom Vertical,CeeDee Lamb #K25,$723.00,,,,,$625.00,$813.00,$375.00,$375.00,,,$477.00,$795.00,,,,,,2,,,,,2022-06-01
4493647,Football Cards 2022 Panini Absolute Kaboom Vertical,CeeDee Lamb [Gold] #K25,$3268.28,,$6000.00,$6600.00,$7260.00,$7920.00,$10296.00,$4752.00,$4752.00,,,$2157.00,$3595.00,,,$3960.00,$6600.00,,6,,,,,2022-06-01
4493619,Football Cards 2022 Panini Absolute Kaboom Vertical,Chris Olave #K42,$466.68,,$425.00,$599.00,$659.00,$1279.00,$1663.00,$767.00,$767.00,,,$307.80,$513.00,,,$234.00,$468.00,,7,,,,,2022-06-01
4493664,Football Cards 2022 Panini Absolute Kaboom Vertical,Chris Olave [Gold] #K42,,,,,$1624.00,$2306.24,$2998.00,$1384.00,$1384.00,,,,,,,,,,2,,,,,2022-06-01
4493598,Football Cards 2022 Panini Absolute Kaboom Vertical,Cooper Kupp #K21,$475.00,,,$508.55,$559.00,$775.00,$1008.00,$465.00,$465.00,,,$313.80,$523.00,,,,,,5,,,,,2022-06-01
4493643,Football Cards 2022 Panini Absolute Kaboom Vertical,Cooper Kupp [Gold] #K21,$1000.00,,,$1077.52,$1185.00,$2130.97,$2770.00,$1279.00,$1279.00,,,$660.00,$1100.00,,,,,,3,,,,,2022-06-01
