id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
5476853,Football Cards 2022 Panini Chronicles,Aaron Rodgers #23,$1.15,,$5.91,$11.35,$22.32,$32.41,$42.00,$19.00,$19.00,,,,$1.29,,,$1.30,$6.49,,5,,,,,2022-06-01
5476903,Football Cards 2022 Panini Chronicles,Aaron Rodgers [Black] #23,$10.50,,,,,,,,,,,$3.00,$11.99,,,,,,1,,,,,2022-06-01
5476953,Football Cards 2022 Panini Chronicles,Aaron Rodgers [Blue] #23,$2.16,,,,,,,,,,,,$2.39,,,,,,2,,,,,2022-06-01
5477003,Football Cards 2022 Panini Chronicles,Aaron Rodgers [Bronze] #23,$0.90,,,,,,,,,,,,$0.99,,,,,,1,,,,,2022-06-01
5477052,Football Cards 2022 Panini Chronicles,Aaron Rodgers [Gold] #23,$14.99,,,,,,,,,,,$4.00,$15.99,,,,,,1,,,,,2022-06-01
5477102,Football Cards 2022 Panini Chronicles,Aaron Rodgers [Holo Bronze] #23,,,,,,,,,,,,,,,,,,,0,,,,,2022-06-01
5477152,Football Cards 2022 Panini Chronicles,Aaron Rodgers [Holo Orange] #23,,,,,,,,,,,,,,,,,,,0,,,,,2022-06-01
5477203,Football Cards 2022 Panini Chronicles,Aaron Rodgers [Holo Pink] #23,$5.00,,,,,,,,,,,$1.10,$5.49,,,,,,1,,,,,2022-06-01
5477253,Football Cards 2022 Panini Chronicles,Aaron Rodgers [Holo Teal] #23,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2022-06-01
5477350,Football Cards 2022 Panini Chronicles,Aaron Rodgers [Jersey Prime] #23,$16.50,,,,,,,,,,,$4.50,$17.99,,,,,,1,,,,,2022-06-01
5477302,Football Cards 2022 Panini Chronicles,Aaron Rodgers [Jersey] #23,$6.88,,,,,,,,,,,$1.50,$7.59,,,,,,4,,,,,2022-06-01
5477398,Football Cards 2022 Panini Chronicles,Aaron Rodgers [Orange] #23,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2022-06-01
5477448,Football Cards 2022 Panini Chronicles,Aaron Rodgers [Pink] #23,$1.40,,,,,$24.99,$32.00,$15.00,$15.00,,,,$1.49,,,,,,3,,,,,2022-06-01
5477497,Football Cards 2022 Panini Chronicles,Aaron Rodgers [Purple] #23,$10.00,,,,,,,,,,,$2.80,$10.99,,,,,,1,,,,,2022-06-01
5477547,Football Cards 2022 Panini Chronicles,Aaron Rodgers [Red] #23,$1.51,,,,,$32.00,$42.00,$19.00,$19.00,,,,$1.69,,,,,,2,,,,,2022-06-01
5477598,Football Cards 2022 Panini Chronicles,Aaron Rodgers [Teal] #23,$1.98,,,,,,,,,,,,$2.19,,,,,,1,,,,,2022-06-01
