id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
5608413,Football Cards 2022 Panini Donruss Optic Downtown,Aaron Rodgers #DT-AR,$440.00,,$350.00,$507.89,$526.93,$621.00,$807.00,$373.00,$373.00,,,$242.00,$484.00,,,$192.50,$385.00,,67,,,,,2022-06-01
9835097,Football Cards 2022 Panini Donruss Optic Downtown,Aaron Rodgers [Black Pandora] #DT-AR,,,,$2495.80,$2745.00,,,,,,,,,,,,,,6,,,,,2022-06-01
9835098,Football Cards 2022 Panini Donruss Optic Downtown,Aaron Rodgers [Gold Vinyl] #DT-AR,,,,,,,,,,,,,,,,,,,0,,,,,2022-06-01
7306130,Football Cards 2022 Panini Donruss Optic Downtown,Aaron Rodgers [Gold] #DT-AR,$1680.00,,,$2123.50,$2336.00,$11000.00,$14300.00,$6600.00,$6600.00,,,$1108.80,$1848.00,,,,,,3,,,,,2022-06-01
9835099,Football Cards 2022 Panini Donruss Optic Downtown,Aaron Rodgers [White Sparkle] #DT-AR,,,,,,,,,,,,,,,,,,,0,,,,,2022-06-01
5608414,Football Cards 2022 Panini Donruss Optic Downtown,Adrian Peterson #DT-AP,$420.59,$319.00,$322.30,$421.50,$464.00,$687.63,$894.00,$413.00,$295.00,,,$231.50,$463.00,$175.50,$351.00,$177.50,$355.00,,46,,,,,2022-06-01
8189619,Football Cards 2022 Panini Donruss Optic Downtown,Adrian Peterson [Black Pandora] #DT-AP,$1299.72,,,$1745.02,$1920.00,,,,,,,$858.00,$1430.00,,,,,,5,,,,,2022-06-01
9835095,Football Cards 2022 Panini Donruss Optic Downtown,Adrian Peterson [Gold Vinyl] #DT-AP,,,,,,,,,,,,,,,,,,,0,,,,,2022-06-01
9572335,Football Cards 2022 Panini Donruss Optic Downtown,Adrian Peterson [Gold] #DT-AP,,,,,,$3947.50,$5132.00,$2369.00,$2369.00,,,,,,,,,,2,,,,,2022-06-01
9835096,Football Cards 2022 Panini Donruss Optic Downtown,Adrian Peterson [White Sparkle] #DT-AP,,,,,,,,,,,,,,,,,,,0,,,,,2022-06-01
5608415,Football Cards 2022 Panini Donruss Optic Downtown,Aidan Hutchinson #DT-AH,$541.27,,$379.59,$619.17,$681.00,$997.50,$1297.00,$599.00,$765.00,,,$357.00,$595.00,,,$209.00,$418.00,,61,,,,,2022-06-01
9835093,Football Cards 2022 Panini Donruss Optic Downtown,Aidan Hutchinson [Black Pandora] #DT-AH,,,,$1637.50,$1801.00,$5350.00,$6955.00,$3210.00,$3210.00,,,,,,,,,,6,,,,,2022-06-01
7222055,Football Cards 2022 Panini Donruss Optic Downtown,Aidan Hutchinson [Gold Vinyl] #DT-AH,$12000.00,,,,,,,,,,,$7920.00,$13200.00,,,,,,1,,,,,2022-06-01
7597948,Football Cards 2022 Panini Donruss Optic Downtown,Aidan Hutchinson [Gold] #DT-AH,,,,$3499.99,$3430.00,$3500.00,$4550.00,$2100.00,$2100.00,,,,,,,,,,2,,,,,2022-06-01
9835094,Football Cards 2022 Panini Donruss Optic Downtown,Aidan Hutchinson [White Sparkle] #DT-AH,,,,,,,,,,,,,,,,,,,0,,,,,2022-06-01
5608416,Football Cards 2022 Panini Donruss Optic Downtown,Bo Jackson #DT-BJ,$598.65,,$389.99,$774.53,$1336.17,$1600.00,$2080.00,$813.00,$768.39,,,$395.40,$659.00,,,$214.50,$429.00,,66,,,,,2022-06-01
9835100,Football Cards 2022 Panini Donruss Optic Downtown,Bo Jackson [Black Pandora] #DT-BJ,$2562.50,,,,,$6200.00,$8060.00,$3720.00,$3720.00,,,$1691.40,$2819.00,,,,,,6,,,,,2022-06-01
9835102,Football Cards 2022 Panini Donruss Optic Downtown,Bo Jackson [Gold Vinyl] #DT-BJ,,,,,,,,,,,,,,,,,,,0,,,,,2022-06-01
9835101,Football Cards 2022 Panini Donruss Optic Downtown,Bo Jackson [Gold] #DT-BJ,,,,,,,,,,,,,,,,,,,0,,,,,2022-06-01
9835103,Football Cards 2022 Panini Donruss Optic Downtown,Bo Jackson [White Sparkle] #DT-BJ,,,,,,,,,,,,,,,,,,,0,,,,,2022-06-01
5880621,Football Cards 2022 Panini Donruss Optic Downtown,Brock Purdy #DT-BP,$1409.00,,$1113.88,$1495.00,$1672.71,$2692.50,$3500.00,$1616.00,$2100.00,,,$930.00,$1550.00,,,$735.00,$1225.00,,52,,,,,2022-06-01
7084318,Football Cards 2022 Panini Donruss Optic Downtown,Brock Purdy [Gold] #DT-BP,,,,$9499.99,$10450.00,$33879.60,$44043.00,$20328.00,$20328.00,,,,,,,,,,2,,,,,2022-06-01
10952951,Football Cards 2022 Panini Donruss Optic Downtown,Chris Olave  [Lazer] #DT-CO,$300.00,,,$415.75,$457.00,,,,,,,$165.00,$330.00,,,,,,4,,,,,
5608417,Football Cards 2022 Panini Donruss Optic Downtown,Chris Olave #DT-CO,$411.78,,$201.14,$434.00,$477.00,$585.00,$761.00,$420.00,$300.00,,,$226.50,$453.00,,,$110.50,$221.00,,96,,,,,2022-06-01
7442492,Football Cards 2022 Panini Donruss Optic Downtown,Chris Olave [Black Pandora] #DT-CO,$1337.00,,,$2300.00,$2530.00,,,,,,,$882.60,$1471.00,,,,,,4,,,,,
9835109,Football Cards 2022 Panini Donruss Optic Downtown,Chris Olave [Gold Vinyl] #DT-CO,,,,,,,,,,,,,,,,,,,0,,,,,2022-06-01
7718818,Football Cards 2022 Panini Donruss Optic Downtown,Chris Olave [Gold] #DT-CO,,,,$1910.39,$2101.00,,,,,,,,,,,,,,1,,,,,2022-06-01
9835110,Football Cards 2022 Panini Donruss Optic Downtown,Chris Olave [White Sparkle] #DT-CO,,,,,,,,,,,,,,,,,,,0,,,,,2022-06-01
