id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
6508006,Football Cards 2023 Panini Spectra,1st Off the Line Box,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-08
6497477,Football Cards 2023 Panini Spectra,A.J. Brown #77,$0.62,,,,,,,,,,,,$0.99,,,,,,1,,,,,2024-03-08
6497483,Football Cards 2023 Panini Spectra,A.J. Brown [Astral] #77,$11.04,,,,,,,,,,,$3.00,$11.99,,,,,,2,,,,,2024-03-08
6497482,Football Cards 2023 Panini Spectra,A.J. Brown [Blue Neon Die-Cut] #77,$5.88,,,,,,,,,,,$1.30,$6.49,,,,,,2,,,,,2024-03-08
6497479,Football Cards 2023 Panini Spectra,A.J. Brown [Celestial] #77,$5.72,,,,,,,,,,,$1.30,$6.29,,,,,,5,,,,,2024-03-08
6497496,Football Cards 2023 Panini Spectra,A.J. Brown [Gold] #77,$97.75,,$86.87,$536.00,$590.00,$643.00,$836.00,$386.00,$386.00,,,$54.00,$108.00,,,$38.40,$95.99,,6,,,,,2024-03-08
6497484,Football Cards 2023 Panini Spectra,A.J. Brown [Green Neon Die-Cut] #77,$9.99,,,,,,,,,,,$2.80,$10.99,,,,,,3,,,,,2024-03-08
6497480,Football Cards 2023 Panini Spectra,A.J. Brown [Hyper] #77,$5.50,,,,,,,,,,,$1.20,$6.09,,,,,,1,,,,,2024-03-08
6497481,Football Cards 2023 Panini Spectra,A.J. Brown [Interstellar] #77,$5.34,,,$21.50,$24.00,$65.00,$85.00,$39.00,$39.00,,,$1.20,$5.89,,,,,,4,,,,,2024-03-08
6497491,Football Cards 2023 Panini Spectra,A.J. Brown [Lucky Envelopes] #77,$5.00,,,,,,,,,,,$1.10,$5.49,,,,,,1,,,,,2024-03-08
6497494,Football Cards 2023 Panini Spectra,A.J. Brown [Marble Neon] #77,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-08
6497486,Football Cards 2023 Panini Spectra,A.J. Brown [Meta] #77,$19.99,,,,,,,,,,,$6.60,$21.99,,,,,,1,,,,,2024-03-08
6497495,Football Cards 2023 Panini Spectra,A.J. Brown [Nebula] #77,$55.00,,,,,,,,,,,$24.40,$60.99,,,,,,1,,,,,2024-03-08
6497488,Football Cards 2023 Panini Spectra,A.J. Brown [Orange Neon Die-Cut] #77,$24.99,,,,,,,,,,,$8.10,$26.99,,,,,,1,,,,,2024-03-08
6497487,Football Cards 2023 Panini Spectra,A.J. Brown [Pink Neon DieCut] #77,$7.00,,,,,,,,,,,$1.50,$7.69,,,,,,1,,,,,2024-03-08
6497493,Football Cards 2023 Panini Spectra,A.J. Brown [Psychedelic] #77,$37.51,,,,,,,,,,,$16.40,$40.99,,,,,,1,,,,,2024-03-08
6497478,Football Cards 2023 Panini Spectra,A.J. Brown [Silver] #77,$2.99,,,,,,,,,,,,$3.29,,,,,,2,,,,,2024-03-08
6497485,Football Cards 2023 Panini Spectra,A.J. Brown [Spectris] #77,$12.00,,,,,,,,,,,$3.30,$12.99,,,,,,3,,,,,2024-03-08
6497492,Football Cards 2023 Panini Spectra,A.J. Brown [Splatter Neon] #77,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-08
6497490,Football Cards 2023 Panini Spectra,A.J. Brown [Universal Die-Cut] #77,$5.50,,,,,,,,,,,$1.20,$6.09,,,,,,1,,,,,2024-03-08
6497489,Football Cards 2023 Panini Spectra,A.J. Brown [Wave] #77,$20.99,,,,,,,,,,,$6.90,$22.99,,,,,,2,,,,,2024-03-08
6499831,Football Cards 2023 Panini Spectra,A.T. Perry #195,$2.59,,,,,,,,,,,,$2.89,,,,,,2,,,,,2024-03-08
6499837,Football Cards 2023 Panini Spectra,A.T. Perry [Astral] #195,$6.73,,,,,,,,,,,$1.50,$7.39,,,,,,3,,,,,2024-03-08
6499836,Football Cards 2023 Panini Spectra,A.T. Perry [Blue Neon Die-Cut] #195,$12.00,,,,,,,,,,,$3.30,$12.99,,,,,,2,,,,,2024-03-08
6499833,Football Cards 2023 Panini Spectra,A.T. Perry [Celestial] #195,$1.63,,,,,,,,,,,,$1.79,,,,,,2,,,,,2024-03-08
6499850,Football Cards 2023 Panini Spectra,A.T. Perry [Gold] #195,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-08
6499838,Football Cards 2023 Panini Spectra,A.T. Perry [Green Neon Die-Cut] #195,$19.99,,,,,$14.50,$19.00,$9.00,$9.00,,,$6.60,$21.99,,,,,,2,,,,,2024-03-08
6499834,Football Cards 2023 Panini Spectra,A.T. Perry [Hyper] #195,$3.25,,,,,,,,,,,,$3.59,,,,,,1,,,,,2024-03-08
6499835,Football Cards 2023 Panini Spectra,A.T. Perry [Interstellar] #195,$3.57,,,,,,,,,,,$0.80,$3.89,,,,,,2,,,,,2024-03-08
6499845,Football Cards 2023 Panini Spectra,A.T. Perry [Lucky Envelopes] #195,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-08
6499847,Football Cards 2023 Panini Spectra,A.T. Perry [Marble Neon] #195,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-08
6499840,Football Cards 2023 Panini Spectra,A.T. Perry [Meta] #195,$14.50,,,,,,,,,,,$4.00,$15.99,,,,,,1,,,,,2024-03-08
6499849,Football Cards 2023 Panini Spectra,A.T. Perry [Nebula] #195,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-08
6499843,Football Cards 2023 Panini Spectra,A.T. Perry [Orange Neon Die-Cut] #195,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2024-03-08
6499841,Football Cards 2023 Panini Spectra,A.T. Perry [Pink Neon DieCut] #195,$7.50,,,,,,,,,,,$1.70,$8.29,,,,,,1,,,,,2024-03-08
6499848,Football Cards 2023 Panini Spectra,A.T. Perry [Psychedelic] #195,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-08
6499832,Football Cards 2023 Panini Spectra,A.T. Perry [Silver] #195,$2.52,,,,,,,,,,,,$2.79,,,,,,3,,,,,2024-03-08
6499839,Football Cards 2023 Panini Spectra,A.T. Perry [Spectris] #195,$4.47,,,,,,,,,,,$1.00,$4.89,,,,,,1,,,,,2024-03-08
6499846,Football Cards 2023 Panini Spectra,A.T. Perry [Splatter Neon] #195,$18.59,,,,,,,,,,,$5.00,$19.99,,,,,,1,,,,,2024-03-08
6499844,Football Cards 2023 Panini Spectra,A.T. Perry [Universal Die-Cut] #195,$4.25,,,,,,,,,,,$0.90,$4.69,,,,,,1,,,,,2024-03-08
6499842,Football Cards 2023 Panini Spectra,A.T. Perry [Wave] #195,$33.89,,,$9.99,$11.00,,,,,,,$14.80,$36.99,,,,,,1,,,,,2024-03-08
6497005,Football Cards 2023 Panini Spectra,Aaron Donald #53,$5.63,,,,,,,,,,,$1.20,$6.19,,,,,,1,,,,,2024-03-08
6497012,Football Cards 2023 Panini Spectra,Aaron Donald [Astral] #53,$9.73,,,,,,,,,,,$2.80,$10.99,,,,,,3,,,,,2024-03-08
6497011,Football Cards 2023 Panini Spectra,Aaron Donald [Blue Neon Die-Cut] #53,$6.99,,,,,,,,,,,$1.50,$7.69,,,,,,4,,,,,2024-03-08
6497008,Football Cards 2023 Panini Spectra,Aaron Donald [Celestial] #53,$5.14,,$9.26,$16.82,$32.36,$45.71,$59.00,$27.00,$27.00,,,$1.10,$5.69,,,$2.00,$9.99,,8,,,,,2024-03-08
6497024,Football Cards 2023 Panini Spectra,Aaron Donald [Gold] #53,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-08
6497013,Football Cards 2023 Panini Spectra,Aaron Donald [Green Neon Die-Cut] #53,$4.12,,,,,,,,,,,$0.90,$4.49,,,,,,1,,,,,2024-03-08
6497009,Football Cards 2023 Panini Spectra,Aaron Donald [Hyper] #53,$3.57,,,$26.49,$29.00,,,,,,,$0.80,$3.89,,,,,,5,,,,,2024-03-08
6497010,Football Cards 2023 Panini Spectra,Aaron Donald [Interstellar] #53,$5.36,,,,,,,,,,,$1.20,$5.89,,,,,,3,,,,,2024-03-08
6497020,Football Cards 2023 Panini Spectra,Aaron Donald [Lucky Envelopes] #53,$16.50,,,,,,,,,,,$4.50,$17.99,,,,,,1,,,,,2024-03-08
