id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
6515267,Football Cards 2023 Panini Zenith,A.J. Brown #79,$1.19,,,,,,,,,,,,$1.29,,,,,,4,,,,,2024-03-15
6515287,Football Cards 2023 Panini Zenith,A.J. Brown [Emerald Artist Proof] #79,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-15
6515274,Football Cards 2023 Panini Zenith,A.J. Brown [First Down] #79,$2.63,,,,,,,,,,,,$2.89,,,,,,3,,,,,2024-03-15
6515282,Football Cards 2023 Panini Zenith,A.J. Brown [Fourth Down] #79,$15.00,,,,,,,,,,,$4.30,$16.99,,,,,,1,,,,,2024-03-15
6515284,Football Cards 2023 Panini Zenith,A.J. Brown [Gold Artist Proof] #79,$8.27,,,$30.00,$33.00,$38.00,$49.00,$23.00,$23.00,,,$1.80,$9.09,,,,,,3,,,,,2024-03-15
6515269,Football Cards 2023 Panini Zenith,A.J. Brown [No Huddle] #79,$12.00,,,,,,,,,,,$3.30,$12.99,,,,,,1,,,,,2024-03-15
6515289,Football Cards 2023 Panini Zenith,A.J. Brown [Platinum Artist Proof] #79,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-15
6515271,Football Cards 2023 Panini Zenith,A.J. Brown [Red Zone] #79,$1.20,,,$12.50,$14.00,,,,,,,,$1.29,,,,,,3,,,,,2024-03-15
6515272,Football Cards 2023 Panini Zenith,A.J. Brown [Retail] #79,$0.78,,,,,,,,,,,,$0.99,,,,,,1,,,,,2024-03-15
6515276,Football Cards 2023 Panini Zenith,A.J. Brown [Second Down] #79,$3.00,,,$13.00,$14.00,,,,,,,,$3.29,,,,,,2,,,,,2024-03-15
6515278,Football Cards 2023 Panini Zenith,A.J. Brown [Silver Artist Proof] #79,$7.50,,,,,,,,,,,$1.70,$8.29,,,,,,1,,,,,2024-03-15
6515280,Football Cards 2023 Panini Zenith,A.J. Brown [Third Down] #79,$1.25,,,,,,,,,,,,$1.39,,,,,,1,,,,,2024-03-15
6515291,Football Cards 2023 Panini Zenith,A.J. Brown [Touchdown] #79,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-15
6514790,Football Cards 2023 Panini Zenith,Aaron Donald #60,$0.11,,,,,,,,,,,,$0.99,,,,,,3,,,,,2024-03-15
6514804,Football Cards 2023 Panini Zenith,Aaron Donald [Emerald Artist Proof] #60,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-15
6514795,Football Cards 2023 Panini Zenith,Aaron Donald [First Down] #60,$1.99,,,,,,,,,,,,$2.19,,,,,,3,,,,,2024-03-15
6518109,Football Cards 2023 Panini Zenith,Aaron Donald [Fourth Down] #60,$22.43,,,,,,,,,,,$7.50,$24.99,,,,,,1,,,,,2024-03-15
6514803,Football Cards 2023 Panini Zenith,Aaron Donald [Gold Artist Proof] #60,$3.61,,,,,,,,,,,$0.80,$3.99,,,,,,1,,,,,2024-03-15
6514791,Football Cards 2023 Panini Zenith,Aaron Donald [No Huddle] #60,$1.99,,,,,,,,,,,,$2.19,,,,,,1,,,,,2024-03-15
6514806,Football Cards 2023 Panini Zenith,Aaron Donald [Platinum Artist Proof] #60,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-15
6514792,Football Cards 2023 Panini Zenith,Aaron Donald [Red Zone] #60,$1.74,,,,,,,,,,,,$1.89,,,,,,2,,,,,2024-03-15
6514793,Football Cards 2023 Panini Zenith,Aaron Donald [Retail] #60,$0.09,,,,,,,,,,,,$0.99,,,,,,4,,,,,2024-03-15
6514796,Football Cards 2023 Panini Zenith,Aaron Donald [Second Down] #60,$5.00,,,,,,,,,,,$1.10,$5.49,,,,,,1,,,,,2024-03-15
6514798,Football Cards 2023 Panini Zenith,Aaron Donald [Silver Artist Proof] #60,$4.80,,,,,,,,,,,$1.10,$5.29,,,,,,1,,,,,2024-03-15
6514800,Football Cards 2023 Panini Zenith,Aaron Donald [Third Down] #60,$5.99,,,,,,,,,,,$1.30,$6.59,,,,,,1,,,,,2024-03-15
6514805,Football Cards 2023 Panini Zenith,Aaron Donald [Touchdown] #60,$135.48,,,,,,,,,,,$74.50,$149.00,,,,,,1,,,,,2024-03-15
6514279,Football Cards 2023 Panini Zenith,Aaron Jones #35,$1.59,,,,,,,,,,,,$1.79,,,,,,2,,,,,2024-03-15
6514292,Football Cards 2023 Panini Zenith,Aaron Jones [Emerald Artist Proof] #35,$15.00,,,,,,,,,,,$4.30,$16.99,,,,,,1,,,,,2024-03-15
6514283,Football Cards 2023 Panini Zenith,Aaron Jones [First Down] #35,$1.67,,,,,,,,,,,,$1.79,,,,,,2,,,,,2024-03-15
6514290,Football Cards 2023 Panini Zenith,Aaron Jones [Fourth Down] #35,$3.62,,,,,,,,,,,$0.80,$3.99,,,,,,2,,,,,2024-03-15
6514291,Football Cards 2023 Panini Zenith,Aaron Jones [Gold Artist Proof] #35,$24.92,,,,,,,,,,,$8.10,$26.99,,,,,,1,,,,,2024-03-15
6514280,Football Cards 2023 Panini Zenith,Aaron Jones [No Huddle] #35,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-15
6514293,Football Cards 2023 Panini Zenith,Aaron Jones [Platinum Artist Proof] #35,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-15
6514281,Football Cards 2023 Panini Zenith,Aaron Jones [Red Zone] #35,$1.26,,,,,,,,,,,,$1.39,,,,,,1,,,,,2024-03-15
6514282,Football Cards 2023 Panini Zenith,Aaron Jones [Retail] #35,$0.25,,,,,,,,,,,,$0.99,,,,,,3,,,,,2024-03-15
6514285,Football Cards 2023 Panini Zenith,Aaron Jones [Second Down] #35,$2.11,,,,,,,,,,,,$2.29,,,,,,2,,,,,2024-03-15
6514287,Football Cards 2023 Panini Zenith,Aaron Jones [Silver Artist Proof] #35,$5.56,,,,,,,,,,,$1.20,$6.09,,,,,,1,,,,,2024-03-15
6514289,Football Cards 2023 Panini Zenith,Aaron Jones [Third Down] #35,$23.94,,,,,,,,,,,$7.80,$25.99,,,,,,1,,,,,2024-03-15
6514294,Football Cards 2023 Panini Zenith,Aaron Jones [Touchdown] #35,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-15
6514210,Football Cards 2023 Panini Zenith,Aidan Hutchinson #32,$1.40,,$6.16,$11.86,$23.38,$34.31,$45.00,$21.00,$21.00,,,,$1.49,,,$1.40,$6.79,,10,,,,,2024-03-15
6514228,Football Cards 2023 Panini Zenith,Aidan Hutchinson [Emerald Artist Proof] #32,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-15
6514218,Football Cards 2023 Panini Zenith,Aidan Hutchinson [First Down] #32,$1.43,,,,,,,,,,,,$1.59,,,,,,1,,,,,2024-03-15
6514224,Football Cards 2023 Panini Zenith,Aidan Hutchinson [Fourth Down] #32,$5.15,,,,,,,,,,,$1.10,$5.69,,,,,,2,,,,,2024-03-15
6514227,Football Cards 2023 Panini Zenith,Aidan Hutchinson [Gold Artist Proof] #32,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-15
6514212,Football Cards 2023 Panini Zenith,Aidan Hutchinson [No Huddle] #32,$1.00,,,,,,,,,,,,$1.09,,,,,,2,,,,,2024-03-15
6514231,Football Cards 2023 Panini Zenith,Aidan Hutchinson [Platinum Artist Proof] #32,,,,,,,,,,,,,,,,,,,0,,,,,2024-03-15
6514214,Football Cards 2023 Panini Zenith,Aidan Hutchinson [Red Zone] #32,$1.75,,$6.47,$12.35,$24.25,$35.42,$46.00,$21.00,$21.00,,,,$1.89,,,$1.40,$7.09,,9,,,,,2024-03-15
6514217,Football Cards 2023 Panini Zenith,Aidan Hutchinson [Retail] #32,$1.99,,,,,,,,,,,,$2.19,,,,,,5,,,,,2024-03-15
6514219,Football Cards 2023 Panini Zenith,Aidan Hutchinson [Second Down] #32,$4.97,,,,,,,,,,,$1.10,$5.49,,,,,,3,,,,,2024-03-15
6514221,Football Cards 2023 Panini Zenith,Aidan Hutchinson [Silver Artist Proof] #32,$4.38,,,,,,,,,,,$1.00,$4.79,,,,,,1,,,,,2024-03-15
