id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
8141678,Football Cards 2024 Panini Absolute,A.J. Brown #87,$0.62,,$5.53,$10.89,$21.64,$32.26,$42.00,$19.00,$19.00,,,,$0.99,,,$1.20,$6.09,,19,,,,,2024-12-27
8141704,Football Cards 2024 Panini Absolute,A.J. Brown [Black Galaxy] #87,,,,,,,,,,,,,,,,,,,0,,,,,2024-12-27
8141705,Football Cards 2024 Panini Absolute,A.J. Brown [Black Spectrum] #87,,,,,,,,,,,,,,,,,,,0,,,,,2024-12-27
8141679,Football Cards 2024 Panini Absolute,A.J. Brown [Black] #87,$1.75,,,,,,,,,,,,$1.89,,,,,,3,,,,,2024-12-27
8141694,Football Cards 2024 Panini Absolute,A.J. Brown [Blue Diamonds] #87,$2.99,,,,,,,,,,,,$3.29,,,,,,1,,,,,2024-12-27
8141696,Football Cards 2024 Panini Absolute,A.J. Brown [Blue Spectrum] #87,$6.00,,,,,,,,,,,$1.30,$6.59,,,,,,1,,,,,2024-12-27
8141680,Football Cards 2024 Panini Absolute,A.J. Brown [Blue] #87,$1.99,,,,,,,,,,,,$2.19,,,,,,2,,,,,2024-12-27
8141701,Football Cards 2024 Panini Absolute,A.J. Brown [Gold Spectrum] #87,$1.99,,,,,,,,,,,,$2.19,,,,,,1,,,,,2024-12-27
8141698,Football Cards 2024 Panini Absolute,A.J. Brown [Gold Stars] #87,$17.50,,,,,,,,,,,$4.80,$18.99,,,,,,4,,,,,2024-12-27
8141699,Football Cards 2024 Panini Absolute,A.J. Brown [Green Spectrum] #87,$4.99,,,,,,,,,,,$1.10,$5.49,,,,,,1,,,,,2024-12-27
8141697,Football Cards 2024 Panini Absolute,A.J. Brown [Green Waves] #87,$12.75,,,$20.50,$23.00,,,,,,,$3.50,$13.99,,,,,,5,,,,,2024-12-27
8141681,Football Cards 2024 Panini Absolute,A.J. Brown [Green] #87,$1.44,,,,,,,,,,,,$1.59,,,,,,4,,,,,2024-12-27
