id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
9759713,Football Cards 2024 Panini Contenders,A.J. Brown #81,$1.21,,$6.06,$11.80,$23.36,$34.83,$45.00,$21.00,$21.00,,,,$1.29,,,$1.30,$6.69,,9,,,,,2025-06-11
9759724,Football Cards 2024 Panini Contenders,A.J. Brown [Conference Ticket] #81,$4.99,,,,,,,,,,,$1.10,$5.49,,,,,,4,,,,,2025-06-11
9759729,Football Cards 2024 Panini Contenders,A.J. Brown [Cracked Ice Ticket] #81,$12.56,,,,,,,,,,,$3.50,$13.99,,,,,,3,,,,,2025-06-11
9759723,Football Cards 2024 Panini Contenders,A.J. Brown [Divisional Ticket] #81,$1.31,,$6.15,$11.94,$23.63,$35.22,$46.00,$21.00,$21.00,,,,$1.39,,,$1.40,$6.79,,12,,,,,2025-06-11
9759720,Football Cards 2024 Panini Contenders,A.J. Brown [Game Ticket Blue] #81,$1.00,,,,,,,,,,,,$1.09,,,,,,1,,,,,2025-06-11
9759714,Football Cards 2024 Panini Contenders,A.J. Brown [Game Ticket Bronze] #81,$0.95,,,,,,,,,,,,$1.09,,,,,,3,,,,,2025-06-11
9759731,Football Cards 2024 Panini Contenders,A.J. Brown [Game Ticket Gold] #81,,,,,,,,,,,,,,,,,,,0,,,,,2025-06-11
9759722,Football Cards 2024 Panini Contenders,A.J. Brown [Game Ticket Green] #81,$2.62,,$7.30,$13.90,$27.30,$40.54,$53.00,$24.00,$24.00,,,,$2.89,,,$1.60,$7.99,,7,,,,,2025-06-11
9759715,Football Cards 2024 Panini Contenders,A.J. Brown [Game Ticket Orange] #81,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2025-06-11
9759716,Football Cards 2024 Panini Contenders,A.J. Brown [Game Ticket Red] #81,$1.05,,$5.92,$11.56,$22.91,$34.18,$44.00,$21.00,$21.00,,,,$1.19,,,$1.30,$6.49,,9,,,,,2025-06-11
9759725,Football Cards 2024 Panini Contenders,A.J. Brown [Game Ticket Teal] #81,,,,,,,,,,,,,,,,,,,0,,,,,2025-06-11
9759732,Football Cards 2024 Panini Contenders,A.J. Brown [Goal Line Ticket FOTL] #81,$2.44,,,,,,,,,,,,$2.69,,,,,,2,,,,,2025-06-11
9759719,Football Cards 2024 Panini Contenders,A.J. Brown [Hobby] #81,$2.00,,$6.76,$12.98,$25.57,$38.04,$49.00,$23.00,$23.00,,,,$2.19,,,$1.50,$7.39,,10,,,,,2025-06-11
9759727,Football Cards 2024 Panini Contenders,A.J. Brown [Midfield Ticket] #81,$5.25,,,,,,,,,,,$1.20,$5.79,,,,,,3,,,,,2025-06-11
10219525,Football Cards 2024 Panini Contenders,A.J. Brown [Mojo] #81,$1.95,,$6.75,$12.96,$25.54,$38.00,$49.00,$23.00,$23.00,,,,$2.19,,,$1.50,$7.39,,10,,,,,2025-06-11
9759717,Football Cards 2024 Panini Contenders,A.J. Brown [Opening Kickoff Ticket] #81,,,,,,,,,,,,,,,,,,,0,,,,,2025-06-11
9759721,Football Cards 2024 Panini Contenders,A.J. Brown [Playoff Ticket] #81,$3.25,,$7.86,$14.84,$29.06,$43.07,$56.00,$26.00,$26.00,,,,$3.59,,,$1.70,$8.69,,9,,,,,2025-06-11
9759733,Football Cards 2024 Panini Contenders,A.J. Brown [Printing Plate] #81,,,,,,,,,,,,,,,,,,,0,,,,,2025-06-11
9759728,Football Cards 2024 Panini Contenders,A.J. Brown [Red Zone Ticket FOTL] #81,$5.99,,,,,,,,,,,$1.30,$6.59,,,,,,5,,,,,2025-06-11
9759718,Football Cards 2024 Panini Contenders,A.J. Brown [Retail] #81,$0.99,,$5.87,$11.47,$22.75,$33.95,$44.00,$20.00,$20.00,,,,$1.09,,,$1.30,$6.49,,8,,,,,2025-06-11
9759726,Football Cards 2024 Panini Contenders,A.J. Brown [Stub] #81,$4.14,,,,,,,,,,,$0.90,$4.59,,,,,,1,,,,,2025-06-11
9759735,Football Cards 2024 Panini Contenders,A.J. Brown [Super Bowl Ticket] #81,,,,,,,,,,,,,,,,,,,0,,,,,2025-06-11
9759730,Football Cards 2024 Panini Contenders,A.J. Brown [Week 18 Ticket] #81,$19.50,,,,,,,,,,,$6.30,$20.99,,,,,,1,,,,,2025-06-11
