id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
7882837,Football Cards 2024 Panini Donruss,A.J. Barner #367,$0.87,,$5.74,$11.22,$22.24,$33.02,$43.00,$20.00,$20.00,,,,$0.99,,,$1.30,$6.29,,23,,,,,2024-10-15
7882838,Football Cards 2024 Panini Donruss,A.J. Barner [Green Press Proof] #367,$1.72,,$6.47,$12.41,$24.43,$35.96,$47.00,$22.00,$22.00,,,,$1.89,,,$1.40,$7.09,,7,,,,,2024-10-15
7882841,Football Cards 2024 Panini Donruss,A.J. Barner [Pink Pandora Optic] #367,$4.99,,,,,,,,,,,$1.10,$5.49,,,,,,1,,,,,2024-10-15
7882840,Football Cards 2024 Panini Donruss,A.J. Barner [Press Proof] #367,$2.00,,,,,,,,,,,,$2.19,,,,,,0,,,,,2024-10-15
7963790,Football Cards 2024 Panini Donruss,A.J. Barner [Purple Press Proof] #367,$1.79,,,,,,,,,,,,$1.99,,,,,,5,,,,,2024-10-01
7882839,Football Cards 2024 Panini Donruss,A.J. Barner [Red Pandora Optic] #367,$2.13,,$6.82,$12.99,$25.49,$37.39,$49.00,$22.00,$22.00,,,,$2.29,,,$1.50,$7.49,,21,,,,,2024-10-15
7882476,Football Cards 2024 Panini Donruss,A.J. Brown #286,$1.15,,$5.98,$11.61,$22.97,$33.99,$44.00,$20.00,$20.00,,,,$1.29,,,$1.30,$6.59,,21,,,,,2024-10-15
8163508,Football Cards 2024 Panini Donruss,A.J. Brown [Aqueous Test] #286,,,,,,,,,,,,,,,,,,,0,,,,,2024-11-01
8163519,Football Cards 2024 Panini Donruss,A.J. Brown [Black Press Proof Die-Cut] #286,,,$276.00,,,,,,,,,,,,,$152.00,$304.00,,1,,,,,2024-11-01
8163518,Football Cards 2024 Panini Donruss,A.J. Brown [Black Press Proof] #286,$23.73,,,,,,,,,,,$7.80,$25.99,,,,,,2,,,,,2024-11-01
8163509,Football Cards 2024 Panini Donruss,A.J. Brown [Blue Press Proof] #286,$1.69,,$6.45,$12.38,$24.38,$35.93,$47.00,$22.00,$22.00,,,,$1.89,,,$1.40,$7.09,,6,,,,,2024-11-01
8163510,Football Cards 2024 Panini Donruss,A.J. Brown [Canvas] #286,$1.99,,,,,,,,,,,,$2.19,,,,,,1,,,,,2024-11-01
8163517,Football Cards 2024 Panini Donruss,A.J. Brown [Gold Press Proof Die-Cut] #286,$7.45,,,,,,,,,,,$1.60,$8.19,,,,,,3,,,,,2024-11-01
