id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10846087,Football Cards 2024 Panini Flawless,A.J. Brown #55,$52.50,,$51.70,$90.08,$170.68,$252.81,$329.00,$152.00,$152.00,,,$23.20,$57.99,,,$22.80,$56.99,,6,,,,,2025-10-09
10846096,Football Cards 2024 Panini Flawless,A.J. Brown [Aquamarine] #55,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-09
10846098,Football Cards 2024 Panini Flawless,A.J. Brown [Black Diamond] #55,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-09
10846089,Football Cards 2024 Panini Flawless,A.J. Brown [Diamond] #55,$110.00,,,,,,,,,,,$60.50,$121.00,,,,,,1,,,,,2025-10-09
10846094,Football Cards 2024 Panini Flawless,A.J. Brown [Emerald] #55,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-09
10846100,Football Cards 2024 Panini Flawless,A.J. Brown [Platinum] #55,$330.00,,,,,,,,,,,$181.50,$363.00,,,,,,1,,,,,2025-10-09
10846088,Football Cards 2024 Panini Flawless,A.J. Brown [Sapphire] #55,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-09
10846012,Football Cards 2024 Panini Flawless,Aaron Jones #44,$52.50,,$40.41,$70.67,$134.13,$198.53,$258.00,$119.00,$119.00,,,$23.20,$57.99,,,$17.60,$43.99,,9,,,,,2025-10-09
10846016,Football Cards 2024 Panini Flawless,Aaron Jones [Aquamarine] #44,,,,,,$199.00,$259.00,$119.00,$119.00,,,,,,,,,,1,,,,,2025-10-09
10846017,Football Cards 2024 Panini Flawless,Aaron Jones [Black Diamond] #44,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-09
10846014,Football Cards 2024 Panini Flawless,Aaron Jones [Diamond] #44,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-09
10846015,Football Cards 2024 Panini Flawless,Aaron Jones [Emerald] #44,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-09
10846018,Football Cards 2024 Panini Flawless,Aaron Jones [Platinum] #44,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-09
10846013,Football Cards 2024 Panini Flawless,Aaron Jones [Sapphire] #44,$29.14,,$30.22,$53.22,$101.29,$150.00,$195.00,$90.00,$90.00,,,$9.60,$31.99,,,$9.90,$32.99,,5,,,,,2025-10-09
10846045,Football Cards 2024 Panini Flawless,Aaron Rodgers #49,$59.79,,$58.21,$101.19,$191.53,$283.34,$368.00,$170.00,$170.00,,,$26.40,$65.99,,,$25.60,$63.99,,10,,,,,2025-10-09
10846049,Football Cards 2024 Panini Flawless,Aaron Rodgers [Aquamarine] #49,$400.00,,,,,,,,,,,$220.00,$440.00,,,,,,1,,,,,2025-10-09
10846050,Football Cards 2024 Panini Flawless,Aaron Rodgers [Black Diamond] #49,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-09
10846047,Football Cards 2024 Panini Flawless,Aaron Rodgers [Diamond] #49,$83.00,,,,,,,,,,,$36.40,$90.99,,,,,,3,,,,,2025-10-09
10846048,Football Cards 2024 Panini Flawless,Aaron Rodgers [Emerald] #49,$76.00,,,,,,,,,,,$33.60,$83.99,,,,,,3,,,,,2025-10-09
10846051,Football Cards 2024 Panini Flawless,Aaron Rodgers [Platinum] #49,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-09
10846046,Football Cards 2024 Panini Flawless,Aaron Rodgers [Sapphire] #49,$108.28,,$101.48,$175.41,$331.21,$489.96,$637.00,$294.00,$294.00,,,$59.50,$119.00,,,$56.00,$112.00,,6,,,,,2025-10-09
10846491,Football Cards 2024 Panini Flawless,Adonai Mitchell #114,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-09
10846495,Football Cards 2024 Panini Flawless,Adonai Mitchell [Aquamarine] #114,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-09
10846497,Football Cards 2024 Panini Flawless,Adonai Mitchell [Black Diamond] #114,$203.50,,,,,,,,,,,$112.00,$224.00,,,,,,1,,,,,2025-10-09
