id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
8514110,Football Cards 2024 Panini Illusions,A.J. Brown #71,$1.61,,$6.38,$12.30,$24.27,$35.96,$47.00,$22.00,$22.00,,,,$1.79,,,$1.40,$6.99,,39,,,,,2025-02-19
8514134,Football Cards 2024 Panini Illusions,A.J. Brown [Black Ice] #71,,,,,,,,,,,,,,,,,,,0,,,,,2025-02-19
8514125,Football Cards 2024 Panini Illusions,A.J. Brown [Blue] #71,$1.44,,,,,,,,,,,,$1.59,,,,,,5,,,,,2025-02-19
8514128,Football Cards 2024 Panini Illusions,A.J. Brown [Bronze] #71,$2.28,,,,,,,,,,,,$2.49,,,,,,4,,,,,2025-02-19
8514120,Football Cards 2024 Panini Illusions,A.J. Brown [Cubic] #71,$2.42,,$7.10,$13.51,$26.51,$39.11,$51.00,$23.00,$23.00,,,,$2.69,,,$1.60,$7.79,,12,,,,,2025-02-19
8514130,Football Cards 2024 Panini Illusions,A.J. Brown [Diamond] #71,$3.50,,$22.50,,,,,,,,,$0.80,$3.89,,,$7.50,$24.99,,4,,,,,2025-02-19
8514111,Football Cards 2024 Panini Illusions,A.J. Brown [Dots] #71,$0.99,,$8.61,,,,,,,,,,$1.09,,,$1.90,$9.49,,4,,,,,2025-02-19
8514112,Football Cards 2024 Panini Illusions,A.J. Brown [Emerald] #71,$1.84,,$6.60,$12.66,$24.94,$36.90,$48.00,$22.00,$22.00,,,,$1.99,,,$1.50,$7.29,,18,,,,,2025-02-19
8514113,Football Cards 2024 Panini Illusions,A.J. Brown [Galactic] #71,$3.99,,,,,,,,,,,$0.90,$4.39,,,,,,1,,,,,2025-02-19
8514131,Football Cards 2024 Panini Illusions,A.J. Brown [Gold] #71,$15.00,,$16.00,,,,,,,,,$4.30,$16.99,,,$4.50,$17.99,,2,,,,,2025-02-19
8514132,Football Cards 2024 Panini Illusions,A.J. Brown [Green] #71,$3.32,,,,,,,,,,,,$3.69,,,,,,3,,,,,2025-02-19
8514121,Football Cards 2024 Panini Illusions,A.J. Brown [Light Blue] #71,$3.49,,,,,,,,,,,$0.80,$3.79,,,,,,5,,,,,2025-02-19
8514119,Football Cards 2024 Panini Illusions,A.J. Brown [Mirrored] #71,$2.46,,$7.13,$13.56,$26.60,$39.23,$51.00,$24.00,$24.00,,,,$2.69,,,$1.60,$7.79,,8,,,,,2025-02-19
8514114,Football Cards 2024 Panini Illusions,A.J. Brown [Orange] #71,$1.58,,$6.37,$12.29,$24.24,$35.93,$47.00,$22.00,$22.00,,,,$1.69,,,$1.40,$6.99,,10,,,,,2025-02-19
8514124,Football Cards 2024 Panini Illusions,A.J. Brown [Pink] #71,$1.31,,$6.14,$11.89,$23.52,$34.91,$45.00,$21.00,$21.00,,,,$1.39,,,$1.40,$6.79,,6,,,,,2025-02-19
8514133,Football Cards 2024 Panini Illusions,A.J. Brown [Platinum] #71,,,,,,,,,,,,,,,,,,,0,,,,,2025-02-19
8514127,Football Cards 2024 Panini Illusions,A.J. Brown [Purple] #71,$2.00,,,,,,,,,,,,$2.19,,,,,,3,,,,,2025-02-19
8514122,Football Cards 2024 Panini Illusions,A.J. Brown [Red] #71,$2.49,,$12.99,$13.61,$26.70,$39.38,$51.00,$24.00,$24.00,,,,$2.69,,,$3.50,$13.99,,7,,,,,2025-02-19
8514115,Football Cards 2024 Panini Illusions,A.J. Brown [Retail] #71,$1.41,,$6.23,$12.06,$23.82,$35.34,$46.00,$21.00,$6.50,,,,$1.59,,,$1.40,$6.89,,9,,,,,2025-02-19
8514126,Football Cards 2024 Panini Illusions,A.J. Brown [Ruby] #71,$2.99,,,,,,,,,,,,$3.29,,,,,,1,,,,,2025-02-19
8514129,Football Cards 2024 Panini Illusions,A.J. Brown [Sapphire] #71,$1.90,,,,,,,,,,,,$2.09,,,,,,5,,,,,2025-02-19
8514116,Football Cards 2024 Panini Illusions,A.J. Brown [Sunburst] #71,,,,,,,,,,,,,,,,,,,0,,,,,2025-02-19
8514117,Football Cards 2024 Panini Illusions,A.J. Brown [Swirls] #71,$1.53,,,,,,,,,,,,$1.69,,,,,,2,,,,,2025-02-19
8514123,Football Cards 2024 Panini Illusions,A.J. Brown [Teal] #71,$1.90,,,,,,,,,,,,$2.09,,,,,,4,,,,,2025-02-19
8514118,Football Cards 2024 Panini Illusions,A.J. Brown [Yellow Diamond] #71,,,,,,,,,,,,,,,,,,,0,,,,,2025-02-19
8514035,Football Cards 2024 Panini Illusions,Aaron Rodgers #68,$1.49,,$6.29,$12.16,$24.01,$35.61,$46.00,$21.00,$21.00,,,,$1.59,,,$1.40,$6.89,,18,,,,,2025-02-19
8514059,Football Cards 2024 Panini Illusions,Aaron Rodgers [Black Ice] #68,,,,,,,,,,,,,,,,,,,0,,,,,2025-02-19
8514050,Football Cards 2024 Panini Illusions,Aaron Rodgers [Blue] #68,$1.80,,$6.56,$12.61,$24.84,$36.76,$48.00,$22.00,$22.00,,,,$1.99,,,$1.40,$7.19,,6,,,,,2025-02-19
8514053,Football Cards 2024 Panini Illusions,Aaron Rodgers [Bronze] #68,$5.75,,,,,,,,,,,$1.30,$6.29,,,,,,1,,,,,2025-02-19
8514045,Football Cards 2024 Panini Illusions,Aaron Rodgers [Cubic] #68,$1.78,,$6.54,$12.58,$24.78,$36.68,$48.00,$22.00,$22.00,,,,$1.99,,,$1.40,$7.19,,12,,,,,2025-02-19
