id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10304238,Football Cards 2024 Panini Immaculate,1st Off The Line Box,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-21
10304677,Football Cards 2024 Panini Immaculate,Aaron Jones #90,$4.20,,,,,,,,,,,$0.90,$4.59,,,,,,3,,,,,2025-08-21
10304680,Football Cards 2024 Panini Immaculate,Aaron Jones [Blue] #90,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-21
10304681,Football Cards 2024 Panini Immaculate,Aaron Jones [Emerald] #90,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-21
10304683,Football Cards 2024 Panini Immaculate,Aaron Jones [Gold] #90,$20.00,,$22.70,$40.21,$76.71,$113.01,$147.00,$68.00,$68.00,,,$6.60,$21.99,,,$7.50,$24.99,,5,,,,,2025-08-21
10304684,Football Cards 2024 Panini Immaculate,Aaron Jones [Platinum] #90,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-21
10304679,Football Cards 2024 Panini Immaculate,Aaron Jones [Red] #90,$6.73,,,,,,,,,,,$1.50,$7.39,,,,,,1,,,,,2025-08-21
10304366,Football Cards 2024 Panini Immaculate,Aaron Rodgers #23,$5.00,,$9.42,$17.54,$34.16,$50.70,$66.00,$30.00,$30.00,,,$1.10,$5.49,,,$2.00,$9.99,,9,,,,,2025-08-21
10304368,Football Cards 2024 Panini Immaculate,Aaron Rodgers [Blue] #23,$12.50,,,,,,,,,,,$3.50,$13.99,,,,,,1,,,,,2025-08-21
10304369,Football Cards 2024 Panini Immaculate,Aaron Rodgers [Emerald] #23,$12.50,,,,,,,,,,,$3.50,$13.99,,,,,,1,,,,,2025-08-21
10304652,Football Cards 2024 Panini Immaculate,Aaron Rodgers [Gold] #23,$12.13,,,,,,,,,,,$3.30,$12.99,,,,,,1,,,,,2025-08-21
10304371,Football Cards 2024 Panini Immaculate,Aaron Rodgers [Platinum] #23,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-21
10304367,Football Cards 2024 Panini Immaculate,Aaron Rodgers [Red] #23,$4.60,,$8.54,$16.03,$31.31,$46.52,$60.00,$28.00,$28.00,,,$1.00,$5.09,,,$1.90,$9.39,,10,,,,,2025-08-21
10304565,Football Cards 2024 Panini Immaculate,Adam Thielen #69,$4.10,,$8.63,$16.19,$31.61,$46.98,$61.00,$28.00,$28.00,,,$0.90,$4.49,,,$1.90,$9.49,,11,,,,,2025-08-21
10304567,Football Cards 2024 Panini Immaculate,Adam Thielen [Blue] #69,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-21
10304570,Football Cards 2024 Panini Immaculate,Adam Thielen [Emerald] #69,$5.50,,,,,,,,,,,$1.20,$6.09,,,,,,1,,,,,2025-08-21
10304655,Football Cards 2024 Panini Immaculate,Adam Thielen [Gold] #69,$7.50,,,,,,,,,,,$1.70,$8.29,,,,,,1,,,,,2025-08-21
10304574,Football Cards 2024 Panini Immaculate,Adam Thielen [Platinum] #69,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-21
10304654,Football Cards 2024 Panini Immaculate,Adam Thielen [Red] #69,$5.00,,$8.07,$15.24,$29.84,$44.41,$58.00,$27.00,$27.00,,,$1.10,$5.49,,,$1.80,$8.89,,12,,,,,2025-08-21
10304911,Football Cards 2024 Panini Immaculate,Adonai Mitchell [Emerald Rookie Patch Autograph] #108,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-21
10304908,Football Cards 2024 Panini Immaculate,Adonai Mitchell [Gold Rookie Patch Autograph] #108,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-21
10304915,Football Cards 2024 Panini Immaculate,Adonai Mitchell [NFL Shield Rookie Patch Autograph] #108,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-21
10304912,Football Cards 2024 Panini Immaculate,Adonai Mitchell [Platinum Rookie Patch Autograph] #108,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-21
10304904,Football Cards 2024 Panini Immaculate,Adonai Mitchell [Rookie Patch Autograph] #108,,,,,,,,,,,,,,,,,,,0,,,,,2025-08-21
