id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
8626535,Football Cards 2024 Panini Instant,Aaron Jones  [Blue Viper] #49,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
8626536,Football Cards 2024 Panini Instant,Aaron Jones  [White Tiger] #49,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
8626534,Football Cards 2024 Panini Instant,Aaron Jones #49,$9.57,,,,,,,,,,,$2.80,$10.99,,,,,,3,,,,,2023-06-01
8626430,Football Cards 2024 Panini Instant,Aaron Rodgers  [Blue Viper] #37,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
8626285,Football Cards 2024 Panini Instant,Aaron Rodgers  [Blue Viper] #78,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
8626431,Football Cards 2024 Panini Instant,Aaron Rodgers  [White Tiger] #37,$95.00,,,,,,,,,,,$52.50,$105.00,,,,,,1,,,,,2023-06-01
8626286,Football Cards 2024 Panini Instant,Aaron Rodgers  [White Tiger] #78,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
8626685,Football Cards 2024 Panini Instant,Aaron Rodgers #254,$11.71,,$14.59,$24.81,$46.24,$60.62,$79.00,$36.00,$36.00,,,$3.30,$12.99,,,$4.00,$15.99,,8,,,,,2023-06-01
8626429,Football Cards 2024 Panini Instant,Aaron Rodgers #37,$9.99,,,,,,,,,,,$2.80,$10.99,,,,,,3,,,,,2023-06-01
8626284,Football Cards 2024 Panini Instant,Aaron Rodgers #78,$9.99,,,,,,,,,,,$2.80,$10.99,,,,,,4,,,,,2023-06-01
8626687,Football Cards 2024 Panini Instant,Aaron Rodgers [Blue Viper] #254,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
8626688,Football Cards 2024 Panini Instant,Aaron Rodgers [White Tiger] #254,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
8626263,Football Cards 2024 Panini Instant,Adonai Mitchell  [Blue Viper] #18,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
8626264,Football Cards 2024 Panini Instant,Adonai Mitchell  [White Tiger] #18,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
8626262,Football Cards 2024 Panini Instant,Adonai Mitchell #18,$14.99,,,,,,,,,,,$4.00,$15.99,,,,,,0,,,,,2023-06-01
8626412,Football Cards 2024 Panini Instant,Alvin Kamara  [Blue Viper] #35,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
8626413,Football Cards 2024 Panini Instant,Alvin Kamara  [White Tiger] #35,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
8626411,Football Cards 2024 Panini Instant,Alvin Kamara #35,$11.49,,,,,,,,,,,$3.30,$12.99,,,,,,1,,,,,2023-06-01
8626424,Football Cards 2024 Panini Instant,Amari Cooper  [Blue Viper] #94,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
8626425,Football Cards 2024 Panini Instant,Amari Cooper  [White Tiger] #94,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
8626423,Football Cards 2024 Panini Instant,Amari Cooper #94,$10.95,,,,,,,,,,,$3.00,$11.99,,,,,,3,,,,,2023-06-01
8626250,Football Cards 2024 Panini Instant,Amon-Ra St. Brown #132,$74.80,,$54.99,$120.00,$176.00,$180.00,$234.00,$108.00,$108.00,,,$32.80,$81.99,,,$24.00,$59.99,,36,,,,,2023-06-01
8626251,Football Cards 2024 Panini Instant,Amon-Ra St. Brown [Blue Viper] #132,$70.00,,,,,,,,,,,$30.80,$76.99,,,,,,1,,,,,2023-06-01
8626252,Football Cards 2024 Panini Instant,Amon-Ra St. Brown [White Tiger] #132,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
8626544,Football Cards 2024 Panini Instant,Andy Dalton  [Blue Viper] #50,,,,,,,,,,,,,,,,,,,0,,,,,2023-06-01
