id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
7937587,Football Cards 2024 Panini Mosaic,A.J. Brown #178,$1.17,,$6.06,$11.74,$23.22,$34.40,$45.00,$21.00,$21.00,,,,$1.29,,,$1.30,$6.69,,10,,,,,2024-11-27
7941089,Football Cards 2024 Panini Mosaic,A.J. Brown #265,$1.27,,$6.11,$9.50,$23.37,$34.61,$45.00,$21.00,$21.00,,,,$1.39,,,$1.30,$6.69,,28,,,,,2024-11-27
7937622,Football Cards 2024 Panini Mosaic,A.J. Brown [Black Gold Choice] #178,$165.00,,,,,,,,,,,$91.00,$182.00,,,,,,1,,,,,2024-11-27
7941125,Football Cards 2024 Panini Mosaic,A.J. Brown [Black Gold Choice] #265,,,,,,,,,,,,,,,,,,,0,,,,,2024-11-27
7937624,Football Cards 2024 Panini Mosaic,A.J. Brown [Black] #178,,,,,,,,,,,,,,,,,,,0,,,,,2024-11-27
7941127,Football Cards 2024 Panini Mosaic,A.J. Brown [Black] #265,,,,,,,,,,,,,,,,,,,0,,,,,2024-11-27
7937613,Football Cards 2024 Panini Mosaic,A.J. Brown [Blue Fluorescent] #178,$65.00,,,,,,,,,,,$28.80,$71.99,,,,,,1,,,,,2024-11-27
7941116,Football Cards 2024 Panini Mosaic,A.J. Brown [Blue Fluorescent] #265,$39.99,,,,,,,,,,,$17.60,$43.99,,,,,,1,,,,,2024-11-27
7937590,Football Cards 2024 Panini Mosaic,A.J. Brown [Blue Reactive] #178,$1.63,,$6.40,$12.31,$24.27,$35.83,$47.00,$22.00,$22.00,,,,$1.79,,,$1.40,$6.99,,23,,,,,2024-11-27
7941091,Football Cards 2024 Panini Mosaic,A.J. Brown [Blue Reactive] #265,$1.99,,$6.28,$14.95,$23.91,$35.35,$46.00,$21.00,$21.00,,,,$2.19,,,$1.40,$6.89,,24,,,,,2024-11-27
7937603,Football Cards 2024 Panini Mosaic,A.J. Brown [Blue Sparkle] #178,$11.42,,,,,,,,,,,$3.30,$12.99,,,,,,2,,,,,2024-11-27
7941106,Football Cards 2024 Panini Mosaic,A.J. Brown [Blue Sparkle] #265,$4.60,,$8.87,$16.39,$31.79,$46.12,$60.00,$28.00,$28.00,,,$1.00,$5.09,,,$2.00,$9.79,,6,,,,,2024-11-27
7937602,Football Cards 2024 Panini Mosaic,A.J. Brown [Blue] #178,$2.63,,$7.26,$13.74,$26.90,$39.43,$51.00,$24.00,$24.00,,,,$2.89,,,$1.60,$7.99,,9,,,,,2024-11-27
7941105,Football Cards 2024 Panini Mosaic,A.J. Brown [Blue] #265,$3.14,,$9.74,$17.82,$34.43,$49.73,$65.00,$30.00,$30.00,,,,$3.49,,,$2.80,$10.99,,11,,,,,2024-11-27
7937589,Football Cards 2024 Panini Mosaic,A.J. Brown [Camo Pink] #178,$1.79,,$6.50,$12.48,$24.59,$36.27,$47.00,$22.00,$22.00,,,,$1.99,,,$1.40,$7.19,,18,,,,,2024-11-27
