id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
8697385,Football Cards 2024 Panini Obsidian,A.J. Brown #159,$4.99,,$9.33,$17.23,$33.42,$48.78,$63.00,$29.00,$29.00,,,$1.10,$5.49,,,$2.00,$9.99,,10,,,,,2025-03-05
8697391,Football Cards 2024 Panini Obsidian,A.J. Brown [Blue Wave International] #159,$8.85,,,,,,,,,,,$1.90,$9.69,,,,,,4,,,,,2025-03-05
8697402,Football Cards 2024 Panini Obsidian,A.J. Brown [Blue] #159,$27.74,,,,,,,,,,,$9.30,$30.99,,,,,,2,,,,,2025-03-05
8697386,Football Cards 2024 Panini Obsidian,A.J. Brown [Contra] #159,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-05
8697410,Football Cards 2024 Panini Obsidian,A.J. Brown [Gold] #159,,,,$56.00,$62.00,,,,,,,,,,,,,,1,,,,,2025-03-05
8697413,Football Cards 2024 Panini Obsidian,A.J. Brown [Green] #159,$100.00,,,,,,,,,,,$55.00,$110.00,,,,,,1,,,,,2025-03-05
8697389,Football Cards 2024 Panini Obsidian,A.J. Brown [International] #159,$5.99,,$10.20,$18.68,$36.12,$52.56,$68.00,$32.00,$32.00,,,$1.30,$6.59,,,$2.80,$10.99,,6,,,,,2025-03-05
8697411,Football Cards 2024 Panini Obsidian,A.J. Brown [Jade International] #159,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-05
8697408,Football Cards 2024 Panini Obsidian,A.J. Brown [Molten FOTL] #159,$40.00,,,$28.00,$31.00,$99.00,$129.00,$59.00,$59.00,,,$17.60,$43.99,,,,,,8,,,,,2025-03-05
8697416,Football Cards 2024 Panini Obsidian,A.J. Brown [Neon FOTL] #159,$89.00,,,,,,,,,,,$39.20,$97.99,,,,,,1,,,,,2025-03-05
8697406,Football Cards 2024 Panini Obsidian,A.J. Brown [Orange Mosaic International] #159,$18.29,,,,,,,,,,,$5.00,$19.99,,,,,,1,,,,,2025-03-05
8697396,Football Cards 2024 Panini Obsidian,A.J. Brown [Red] #159,$5.96,,$10.17,$18.62,$35.00,$52.36,$68.00,$31.00,$31.00,,,$1.30,$6.59,,,$2.80,$10.99,,7,,,,,2025-03-05
8698801,Football Cards 2024 Panini Obsidian,A.J. Brown [Signature International Jade] #159,$135.00,,,,,,,,,,,$74.50,$149.00,,,,,,1,,,,,2025-03-05
8699159,Football Cards 2024 Panini Obsidian,A.J. Brown [Signature International Orange Mosaic] #159,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-05
8698979,Football Cards 2024 Panini Obsidian,A.J. Brown [Signature International] #159,$36.00,,,,,,,,,,,$16.00,$39.99,,,,,,1,,,,,2025-03-05
8697393,Football Cards 2024 Panini Obsidian,A.J. Brown [Silver] #159,$10.74,,$14.31,$22.00,$48.84,$70.29,$91.00,$42.00,$42.00,,,$3.00,$11.99,,,$4.00,$15.99,,9,,,,,2025-03-05
8697419,Football Cards 2024 Panini Obsidian,A.J. Brown [Vibrant Mojo] #159,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-05
8696902,Football Cards 2024 Panini Obsidian,Aaron Donald #118,$3.60,,$8.12,$15.21,$29.68,$43.54,$57.00,$26.00,$26.00,,,$0.80,$3.99,,,$1.80,$8.89,,6,,,,,2025-03-05
8696905,Football Cards 2024 Panini Obsidian,Aaron Donald [Blue Wave International] #118,,,,,,,,,,,,,,,,,,,0,,,,,2025-03-05
8696908,Football Cards 2024 Panini Obsidian,Aaron Donald [Blue] #118,$15.50,,$18.47,$32.49,$61.75,$88.40,$115.00,$53.00,$53.00,,,$4.30,$16.99,,,$5.00,$19.99,,9,,,,,2025-03-05
8696903,Football Cards 2024 Panini Obsidian,Aaron Donald [Contra] #118,$110.00,,,,,,,,,,,$60.50,$121.00,,,,,,1,,,,,2025-03-05
8696911,Football Cards 2024 Panini Obsidian,Aaron Donald [Gold] #118,,,,,,$127.00,$165.00,$76.00,$76.00,,,,,,,,,,1,,,,,2025-03-05
8696913,Football Cards 2024 Panini Obsidian,Aaron Donald [Green] #118,$60.00,,,,$75.00,,,,,,,$26.40,$65.99,,,,,,2,,,,,2025-03-05
8696904,Football Cards 2024 Panini Obsidian,Aaron Donald [International] #118,$1.99,,,,,,,,,,,,$2.19,,,,,,2,,,,,2025-03-05
8696912,Football Cards 2024 Panini Obsidian,Aaron Donald [Jade International] #118,$68.75,,,,,,,,,,,$30.40,$75.99,,,,,,2,,,,,2025-03-05
