id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10545055,Football Cards 2024 Panini One,Adam Vinatieri [Black Once in a Franchise Autograph] #331,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-04
10545052,Football Cards 2024 Panini One,Adam Vinatieri [Bronze Once in a Franchise Autograph] #331,$34.79,,,,,,,,,,,$15.20,$37.99,,,,,,1,,,,,2025-09-04
10545053,Football Cards 2024 Panini One,Adam Vinatieri [Gold Once in a Franchise Autograph] #331,$199.99,,,,,,,,,,,$110.00,$220.00,,,,,,1,,,,,2025-09-04
10545051,Football Cards 2024 Panini One,Adam Vinatieri [Green Once in a Franchise Autograph] #331,$38.00,,$38.68,$67.53,$128.04,$188.52,$245.00,$113.00,$113.00,,,$16.80,$41.99,,,$17.20,$42.99,,7,,,,,2025-09-04
10545049,Football Cards 2024 Panini One,Adam Vinatieri [Once in a Franchise Autograph] #331,$45.00,,$44.89,$102.50,$148.00,$217.89,$283.00,$131.00,$131.00,,,$20.00,$49.99,,,$19.60,$48.99,,23,,,,,2025-09-04
10545054,Football Cards 2024 Panini One,Adam Vinatieri [Platinum Once in a Franchise Autograph] #331,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-04
10545050,Football Cards 2024 Panini One,Adam Vinatieri [Red Once in a Franchise Autograph] #331,$43.71,,$43.78,$76.31,$144.61,$213.23,$277.00,$128.00,$128.00,,,$19.20,$47.99,,,$19.20,$47.99,,19,,,,,2025-09-04
10544229,Football Cards 2024 Panini One,Adonai Mitchell [Black Rookie Dual Patch Autograph] #37,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-04
10544082,Football Cards 2024 Panini One,Adonai Mitchell [Black Rookie Patch Autograph] #7,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-04
10544361,Football Cards 2024 Panini One,Adonai Mitchell [Black Square One Autograph] #68,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-04
10545498,Football Cards 2024 Panini One,Adonai Mitchell [Brand Logo Rookie Fractal Patch Autograph] #397,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-04
10544216,Football Cards 2024 Panini One,Adonai Mitchell [Bronze Rookie Dual Patch Autograph] #37,$28.45,,$30.08,$52.89,$100.58,$148.45,$193.00,$89.00,$89.00,,,$9.30,$30.99,,,$9.90,$32.99,,7,,,,,2025-09-04
10544078,Football Cards 2024 Panini One,Adonai Mitchell [Bronze Rookie Patch Autograph] #7,$18.50,,$21.41,$38.07,$72.75,$107.59,$140.00,$65.00,$65.00,,,$5.00,$19.99,,,$7.20,$23.99,,7,,,,,2025-09-04
10544358,Football Cards 2024 Panini One,Adonai Mitchell [Bronze Square One Autograph] #68,$42.00,,,,,,,,,,,$18.40,$45.99,,,,,,4,,,,,2025-09-04
10544218,Football Cards 2024 Panini One,Adonai Mitchell [Gold Rookie Dual Patch Autograph] #37,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-04
10545495,Football Cards 2024 Panini One,Adonai Mitchell [Gold Rookie Fractal Patch Autograph] #397,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-04
10544080,Football Cards 2024 Panini One,Adonai Mitchell [Gold Rookie Patch Autograph] #7,$36.00,,$36.91,$64.52,$122.41,$180.32,$234.00,$108.00,$108.00,,,$16.00,$39.99,,,$16.40,$40.99,,8,,,,,2025-09-04
10544359,Football Cards 2024 Panini One,Adonai Mitchell [Gold Square One Autograph] #68,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-04
10544215,Football Cards 2024 Panini One,Adonai Mitchell [Green Rookie Dual Patch Autograph] #37,$16.00,,,,,,,,,,,$4.50,$17.99,,,,,,4,,,,,2025-09-04
10544077,Football Cards 2024 Panini One,Adonai Mitchell [Green Rookie Patch Autograph] #7,$20.50,,$23.18,$41.07,$78.37,$115.75,$150.00,$69.00,$69.00,,,$6.90,$22.99,,,$7.80,$25.99,,14,,,,,2025-09-04
10544357,Football Cards 2024 Panini One,Adonai Mitchell [Green Square One Autograph] #68,$34.99,,,,,,,,,,,$15.20,$37.99,,,,,,1,,,,,2025-09-04
10545502,Football Cards 2024 Panini One,Adonai Mitchell [NFL Shield Rookie Fractal Patch Autograph] #397,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-04
10545500,Football Cards 2024 Panini One,Adonai Mitchell [Nike Laundry Rookie Fractal Patch Autograph] #397,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-04
10544223,Football Cards 2024 Panini One,Adonai Mitchell [Platinum Rookie Dual Patch Autograph] #37,$99.99,,,,,,,,,,,$55.00,$110.00,,,,,,1,,,,,2025-09-04
10544081,Football Cards 2024 Panini One,Adonai Mitchell [Platinum Rookie Patch Autograph] #7,$36.00,,,,,,,,,,,$16.00,$39.99,,,,,,1,,,,,2025-09-04
10544360,Football Cards 2024 Panini One,Adonai Mitchell [Platinum Square One Autograph] #68,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-04
10545025,Football Cards 2024 Panini One,Adonai Mitchell [Precision Rookie Patch Autograph] #307,$18.11,,$22.73,$40.31,$76.95,$113.71,$148.00,$68.00,$68.00,,,$5.00,$19.99,,,$7.50,$24.99,,24,,,,,2025-09-04
10544214,Football Cards 2024 Panini One,Adonai Mitchell [Red Rookie Dual Patch Autograph] #37,$11.48,,$18.75,$33.52,$64.20,$95.01,$124.00,$57.00,$57.00,,,$3.30,$12.99,,,$6.30,$20.99,,12,,,,,2025-09-04
10544076,Football Cards 2024 Panini One,Adonai Mitchell [Red Rookie Patch Autograph] #7,$11.63,,$14.98,$27.05,$52.03,$77.02,$100.00,$46.00,$46.00,,,$3.30,$12.99,,,$4.00,$15.99,,25,,,,,2025-09-04
10544356,Football Cards 2024 Panini One,Adonai Mitchell [Red Square One Autograph] #68,$24.58,,$27.17,$47.92,$91.27,$134.83,$175.00,$81.00,$81.00,,,$8.10,$26.99,,,$9.00,$29.99,,6,,,,,2025-09-04
10544210,Football Cards 2024 Panini One,Adonai Mitchell [Rookie Dual Patch Autograph] #37,$17.50,,$20.52,$36.52,$69.82,$103.18,$134.00,$62.00,$62.00,,,$4.80,$18.99,,,$6.90,$22.99,,8,,,,,2025-09-04
10545580,Football Cards 2024 Panini One,Adonai Mitchell [Rookie Fractal Patch Autograph] #397,$22.36,,$24.64,$43.56,$83.03,$122.50,$159.00,$74.00,$74.00,,,$7.50,$24.99,,,$8.10,$26.99,,7,,,,,2025-09-04
10544075,Football Cards 2024 Panini One,Adonai Mitchell [Rookie Patch Autograph] #7,$12.17,,$14.78,$26.71,$51.39,$76.10,$99.00,$46.00,$46.00,,,$3.30,$12.99,,,$4.00,$15.99,,47,,,,,2025-09-04
10544355,Football Cards 2024 Panini One,Adonai Mitchell [Square One Autograph] #68,$15.23,,$18.52,$33.14,$63.50,$94.06,$122.00,$56.00,$56.00,,,$4.30,$16.99,,,$5.00,$19.99,,9,,,,,2025-09-04
10545314,Football Cards 2024 Panini One,Alex Highsmith [Black Wonderful Ones Autograph] #379,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-04
10545312,Football Cards 2024 Panini One,Alex Highsmith [Bronze Wonderful Ones Autograph] #379,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-04
10545323,Football Cards 2024 Panini One,Alex Highsmith [Gold Wonderful Ones Autograph] #379,$120.00,,,,,,,,,,,$66.00,$132.00,,,,,,1,,,,,2025-09-04
10545311,Football Cards 2024 Panini One,Alex Highsmith [Green Wonderful Ones Autograph] #379,$19.09,,$21.92,$38.90,$74.27,$109.62,$143.00,$66.00,$66.00,,,$6.30,$20.99,,,$7.20,$23.99,,11,,,,,2025-09-04
