id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
7543919,Football Cards 2024 Panini Origins,A.J. Brown #41,$1.52,,$6.29,$12.11,$23.88,$37.00,$48.00,$22.00,$22.00,,,,$1.69,,,$1.40,$6.89,,20,,,,,2024-10-04
7545691,Football Cards 2024 Panini Origins,A.J. Brown [Autograph] #41,,,,,,,,,,,,,,,,,,,0,,,,,2024-10-04
7545692,Football Cards 2024 Panini Origins,A.J. Brown [Black Autograph] #41,$205.00,,,,,,,,,,,$113.00,$226.00,,,,,,1,,,,,2024-10-04
7543929,Football Cards 2024 Panini Origins,A.J. Brown [Black] #41,,,,,,,,,,,,,,,,,,,0,,,,,2024-10-04
7543922,Football Cards 2024 Panini Origins,A.J. Brown [Blue] #41,$6.12,,,,,,,,,,,$1.30,$6.69,,,,,,4,,,,,2024-10-04
7543925,Football Cards 2024 Panini Origins,A.J. Brown [Gold] #41,$19.99,,,,,,,,,,,$6.60,$21.99,,,,,,1,,,,,2024-10-04
7543927,Football Cards 2024 Panini Origins,A.J. Brown [Green] #41,$132.53,,,,,,,,,,,$73.00,$146.00,,,,,,3,,,,,2024-10-04
7543921,Football Cards 2024 Panini Origins,A.J. Brown [Orange] #41,$3.96,,$8.38,$15.53,$30.16,$43.63,$57.00,$26.00,$26.00,,,$0.90,$4.39,,,$1.80,$9.19,,8,,,,,2024-10-04
7543928,Football Cards 2024 Panini Origins,A.J. Brown [Pink] #41,$27.59,,,,,,,,,,,$9.00,$29.99,,,,,,2,,,,,2024-10-04
7543930,Football Cards 2024 Panini Origins,A.J. Brown [Printing Plate] #41,$67.00,,,,,,,,,,,$29.60,$73.99,,,,,,1,,,,,2024-10-04
