id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
9556803,Football Cards 2024 Panini Totally Certified,A.J. Brown #74,$1.45,,$6.27,$9.50,$23.98,$35.66,$46.00,$21.00,$21.00,,,,$1.59,,,$1.40,$6.89,,8,,,,,2025-05-16
9556939,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Blue] #74,$0.99,,,,,,,,,,,,$1.09,,,,,,4,,,,,2025-05-16
9556890,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Bronze] #74,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-16
9557024,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Gold] #74,$1.25,,$6.09,$11.84,$23.43,$34.89,$45.00,$21.00,$21.00,,,,$1.39,,,$1.30,$6.69,,6,,,,,2025-05-16
9556897,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Maroon] #74,$1.99,,,,,,,,,,,,$2.19,,,,,,1,,,,,2025-05-16
9556978,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Neon Green] #74,$5.75,,,,,,,,,,,$1.30,$6.29,,,,,,2,,,,,2025-05-16
9556946,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Neon Orange] #74,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-16
9557006,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Pink] #74,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-16
9557051,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Platinum Black] #74,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-16
9556997,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Platinum Blue Camo] #74,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-16
9556979,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Platinum Blue] #74,$4.25,,,,,,,,,,,$0.90,$4.69,,,,,,2,,,,,2025-05-16
9559603,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Platinum Camo] #74,$19.91,,,,,,,,,,,$6.60,$21.99,,,,,,4,,,,,2025-05-16
9557029,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Platinum Gold] #74,$32.50,,,,,,,,,,,$14.40,$35.99,,,,,,4,,,,,2025-05-16
9557038,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Platinum Green] #74,$8.99,,,,,,,,,,,$2.00,$9.89,,,,,,1,,,,,2025-05-16
9557042,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Platinum Mixorama] #74,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-16
9557057,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Platinum Nebula] #74,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-16
9556985,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Platinum Orange] #74,$3.36,,,,,,,,,,,,$3.69,,,,,,4,,,,,2025-05-16
9556990,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Platinum Purple Die-Cut] #74,$5.23,,,,,,,,,,,$1.20,$5.79,,,,,,4,,,,,2025-05-16
9556970,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Platinum Red Die-Cut] #74,$2.25,,,,,,,,,,,,$2.49,,,,,,3,,,,,2025-05-16
9556963,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Platinum Silver] #74,$2.26,,,,,,,,,,,,$2.49,,,,,,2,,,,,2025-05-16
9557011,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Platinum White] #74,$8.93,,,,,,,,,,,$2.00,$9.79,,,,,,3,,,,,2025-05-16
9556931,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Purple] #74,$0.74,,,,,,,,,,,,$0.99,,,,,,2,,,,,2025-05-16
9556961,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror Red] #74,$2.00,,$6.75,$12.94,$25.49,$37.81,$49.00,$23.00,$23.00,,,,$2.19,,,$1.50,$7.39,,9,,,,,2025-05-16
9556834,Football Cards 2024 Panini Totally Certified,A.J. Brown [Mirror] #74,$1.25,,$6.09,$11.85,$23.44,$34.92,$45.00,$21.00,$21.00,,,,$1.39,,,$1.30,$6.69,,9,,,,,2025-05-16
9556221,Football Cards 2024 Panini Totally Certified,Aaron Jones #59,$0.27,,$5.24,$10.40,$20.74,$31.06,$40.00,$19.00,$19.00,,,,$0.99,,,$1.20,$5.79,,8,,,,,2025-05-16
9556226,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Blue] #59,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2025-05-16
9556223,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Bronze] #59,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2025-05-16
9556239,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Gold] #59,$12.05,,,,,,,,,,,$3.30,$12.99,,,,,,3,,,,,2025-05-16
9556225,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Maroon] #59,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2025-05-16
9556232,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Neon Green] #59,$2.00,,,,,,,,,,,,$2.19,,,,,,1,,,,,2025-05-16
9556228,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Neon Orange] #59,$3.45,,,,,,,,,,,$0.80,$3.79,,,,,,2,,,,,2025-05-16
9556236,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Pink] #59,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-16
9556242,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Platinum Black] #59,$52.00,,,,,,,,,,,$22.80,$56.99,,,,,,1,,,,,2025-05-16
9556234,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Platinum Blue Camo] #59,$2.99,,,,,,,,,,,,$3.29,,,,,,3,,,,,2025-05-16
9556231,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Platinum Blue] #59,$1.25,,,,,,,,,,,,$1.39,,,,,,1,,,,,2025-05-16
9556238,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Platinum Camo] #59,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-16
9556240,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Platinum Gold] #59,$15.00,,,,,,,,,,,$4.30,$16.99,,,,,,1,,,,,2025-05-16
9559584,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Platinum Green] #59,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-16
9556241,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Platinum Mixorama] #59,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-16
9556243,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Platinum Nebula] #59,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-16
9556233,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Platinum Orange] #59,$1.04,,,,,,,,,,,,$1.09,,,,,,1,,,,,2025-05-16
9556235,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Platinum Purple Die-Cut] #59,$2.25,,,,,,,,,,,,$2.49,,,,,,3,,,,,2025-05-16
9556229,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Platinum Red Die-Cut] #59,$1.00,,,,,,,,,,,,$1.09,,,,,,2,,,,,2025-05-16
9556227,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Platinum Silver] #59,$2.39,,,,,,,,,,,,$2.59,,,,,,0,,,,,2025-05-16
9556237,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Platinum White] #59,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-16
9556224,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Purple] #59,$1.85,,,,,,,,,,,,$1.99,,,,,,3,,,,,2025-05-16
9556230,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror Red] #59,$1.69,,$6.48,$12.49,$24.64,$36.62,$48.00,$22.00,$22.00,,,,$1.89,,,$1.40,$7.09,,6,,,,,2025-05-16
9556222,Football Cards 2024 Panini Totally Certified,Aaron Jones [Mirror] #59,$1.12,,,,,,,,,,,,$1.19,,,,,,2,,,,,2025-05-16
9556429,Football Cards 2024 Panini Totally Certified,Aaron Rodgers #68,$0.56,,,,,,,,,,,,$0.99,,,,,,2,,,,,2025-05-16
9556434,Football Cards 2024 Panini Totally Certified,Aaron Rodgers [Mirror Blue] #68,$0.77,,$5.67,$11.13,$22.12,$33.02,$43.00,$20.00,$20.00,,,,$0.99,,,$1.20,$6.19,,6,,,,,2025-05-16
9556431,Football Cards 2024 Panini Totally Certified,Aaron Rodgers [Mirror Bronze] #68,,,,,,,,,,,,,,,,,,,0,,,,,2025-05-16
9556448,Football Cards 2024 Panini Totally Certified,Aaron Rodgers [Mirror Gold] #68,$29.00,,,,,,,,,,,$9.60,$31.99,,,,,,5,,,,,2025-05-16
9556432,Football Cards 2024 Panini Totally Certified,Aaron Rodgers [Mirror Maroon] #68,$1.12,,,,,,,,,,,,$1.19,,,,,,1,,,,,2025-05-16
