id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10631081,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Aaron Rodgers #3,$1559.95,,,,,,,,,,,$1029.60,$1716.00,,,,,,1,,,,,2025-09-22
10631083,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Aaron Rodgers [Gold] #3,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-22
10631084,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Aaron Rodgers [Green] #3,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-22
10631082,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Aaron Rodgers [Purple] #3,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-22
10631085,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Brett Favre #4,$1325.00,,$1181.39,$1247.00,$3784.68,$5534.74,$7195.00,$3321.00,$3321.00,,,$874.80,$1458.00,,,$780.00,$1300.00,,9,,,,,2025-09-22
10631087,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Brett Favre [Gold] #4,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-22
10631088,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Brett Favre [Green] #4,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-22
10631086,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Brett Favre [Purple] #4,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-22
10631116,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Cooper DeJean #12,$1487.50,,,$1400.00,$1540.00,,,,,,,$981.60,$1636.00,,,,,,6,,,,,2025-09-22
10631118,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Cooper DeJean [Gold] #12,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-22
10631119,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Cooper DeJean [Green] #12,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-22
10631117,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Cooper DeJean [Purple] #12,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-22
10631076,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Eli Manning #2,$874.00,,$742.24,$1278.93,$2415.39,$3426.97,$4455.00,$2056.00,$2056.00,,,$576.60,$961.00,,,$489.60,$816.00,,13,,,,,2025-09-22
10631079,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Eli Manning [Gold] #2,,,,,,$20000.00,$26000.00,$12000.00,$12000.00,,,,,,,,,,1,,,,,2025-09-22
10631080,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Eli Manning [Green] #2,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-22
10631078,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Eli Manning [Purple] #2,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-22
10631074,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Jalen Hurts #1,$1165.00,,$933.28,$1600.00,$3012.44,$4409.73,$5733.00,$2646.00,$2646.00,,,$769.20,$1282.00,,,$616.20,$1027.00,,13,,,,,2025-09-22
10631077,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Jalen Hurts [Gold] #1,$4900.00,,,,,,,,,,,$3234.00,$5390.00,,,,,,1,,,,,2025-09-22
10631075,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Jalen Hurts [Green] #1,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-22
10631073,Football Cards 2025 Panini Absolute Kaboom Super Bowl Horizontal,Jalen Hurts [Purple] #1,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-22
