id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10643401,Football Cards 2025 Panini Certified,A.J. Brown #81,$1.55,,$6.26,$12.16,$24.07,$36.01,$47.00,$22.00,$22.00,,,,$1.69,,,$1.40,$6.89,,13,,,,,2025-09-26
10643414,Football Cards 2025 Panini Certified,A.J. Brown [Black Mirror] #81,$225.00,,,,,,,,,,,$124.00,$248.00,,,,,,4,,,,,2025-09-26
10643407,Football Cards 2025 Panini Certified,A.J. Brown [Blue Mirror] #81,$18.00,,,,,,,,,,,$5.00,$19.99,,,,,,1,,,,,2025-09-26
10643409,Football Cards 2025 Panini Certified,A.J. Brown [Bronze Mirror] #81,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-26
10643412,Football Cards 2025 Panini Certified,A.J. Brown [Gold Mirror] #81,$30.00,,$40.53,$70.85,$134.42,$198.72,$258.00,$119.00,$119.00,,,$9.90,$32.99,,,$18.00,$44.99,,8,,,,,2025-09-26
10643408,Football Cards 2025 Panini Certified,A.J. Brown [Green Mirror] #81,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-26
10643410,Football Cards 2025 Panini Certified,A.J. Brown [Lime Green Mirror] #81,$31.14,,,,,,,,,,,$10.20,$33.99,,,,,,1,,,,,2025-09-26
10643402,Football Cards 2025 Panini Certified,A.J. Brown [Mirror] #81,$1.25,,,,,,,,,,,,$1.39,,,,,,7,,,,,2025-09-26
10643714,Football Cards 2025 Panini Certified,A.J. Brown [Orange Mirror] #81,$2.25,,$7.00,$13.44,$26.47,$39.58,$51.00,$24.00,$24.00,,,,$2.49,,,$1.50,$7.69,,7,,,,,2025-09-26
10643404,Football Cards 2025 Panini Certified,A.J. Brown [Pink Mirror] #81,$2.22,,$6.97,$13.38,$26.35,$39.36,$51.00,$24.00,$24.00,,,,$2.39,,,$1.50,$7.69,,9,,,,,2025-09-26
10643413,Football Cards 2025 Panini Certified,A.J. Brown [Platinum Mirror] #81,,,,,,,,,,,,,,,,,,,0,,,,,2025-09-26
