id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10088295,Football Cards 2025 Panini Luminance,Abdul Carter #153,$2.01,,$7.03,$13.44,$26.43,$39.31,$51.00,$24.00,$24.00,,,,$2.19,,,$1.50,$7.69,,35,,,,,2025-07-23
10088334,Football Cards 2025 Panini Luminance,Abdul Carter [Black] #153,$13.00,,$16.45,$29.46,$56.45,$82.89,$108.00,$50.00,$50.00,,,$3.50,$13.99,,,$4.50,$17.99,,11,,,,,2025-07-23
10088325,Football Cards 2025 Panini Luminance,Abdul Carter [Blue] #153,$11.09,,$14.06,$20.50,$48.81,$71.73,$93.00,$43.00,$43.00,,,$3.00,$11.99,,,$3.80,$14.99,,7,,,,,2025-07-23
10088297,Football Cards 2025 Panini Luminance,Abdul Carter [Gold] #153,$2.99,,$7.63,$14.47,$28.38,$42.14,$55.00,$25.00,$25.00,,,,$3.29,,,$1.70,$8.39,,11,,,,,2025-07-23
10088330,Football Cards 2025 Panini Luminance,Abdul Carter [Green] #153,$8.13,,,$0.99,$1.00,$52.50,$68.00,$32.00,$32.00,,,$1.80,$8.89,,,,,,6,,,,,2025-07-23
10088339,Football Cards 2025 Panini Luminance,Abdul Carter [Orange] #153,$8.00,,$12.05,$21.98,$31.00,$31.32,$41.00,$19.00,$19.00,,,$1.80,$8.79,,,$3.30,$12.99,,7,,,,,2025-07-23
10088373,Football Cards 2025 Panini Luminance,Abdul Carter [Platinum] #153,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-23
10088321,Football Cards 2025 Panini Luminance,Abdul Carter [Purple] #153,$3.24,,$53.93,$59.00,$64.00,$64.99,$84.00,$39.00,$39.00,,,,$3.59,,,$23.60,$58.99,,17,,,,,2025-07-23
10088347,Football Cards 2025 Panini Luminance,Abdul Carter [Red] #153,$5.30,,,,,,,,,,,$1.20,$5.79,,,,,,5,,,,,2025-07-23
10088340,Football Cards 2025 Panini Luminance,Abdul Carter [Teal] #153,$5.00,,,,,,,,,,,$1.10,$5.49,,,,,,1,,,,,2025-07-23
10088352,Football Cards 2025 Panini Luminance,Abdul Carter [Vivid] #153,$84.35,,,,,,,,,,,$37.20,$92.99,,,,,,3,,,,,2025-07-23
10086927,Football Cards 2025 Panini Luminance,Adonai Mitchell #35,$1.49,,$6.31,$12.23,$24.18,$36.06,$47.00,$22.00,$22.00,,,,$1.59,,,$1.40,$6.89,,5,,,,,2025-07-23
10088681,Football Cards 2025 Panini Luminance,Adonai Mitchell [Autograph] #35,$3.25,,,,,,,,,,,,$3.59,,,,,,1,,,,,2025-07-23
10088685,Football Cards 2025 Panini Luminance,Adonai Mitchell [Blue Autograph] #35,$5.99,,,,,,,,,,,$1.30,$6.59,,,,,,5,,,,,2025-07-23
10086929,Football Cards 2025 Panini Luminance,Adonai Mitchell [Blue] #35,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2025-07-23
10088683,Football Cards 2025 Panini Luminance,Adonai Mitchell [Gold Autograph] #35,$9.99,,$13.81,$24.96,$48.01,$70.64,$92.00,$42.00,$42.00,,,$2.80,$10.99,,,$3.80,$14.99,,7,,,,,2025-07-23
10086928,Football Cards 2025 Panini Luminance,Adonai Mitchell [Gold] #35,$0.99,,,,,,,,,,,,$1.09,,,,,,4,,,,,2025-07-23
10088688,Football Cards 2025 Panini Luminance,Adonai Mitchell [Green Autograph] #35,$4.99,,$9.40,$17.46,$33.97,$50.24,$65.00,$30.00,$30.00,,,$1.10,$5.49,,,$2.00,$9.99,,6,,,,,2025-07-23
10086930,Football Cards 2025 Panini Luminance,Adonai Mitchell [Green] #35,$0.84,,,,,,,,,,,,$0.99,,,,,,4,,,,,2025-07-23
10086932,Football Cards 2025 Panini Luminance,Adonai Mitchell [Orange] #35,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-23
10088690,Football Cards 2025 Panini Luminance,Adonai Mitchell [Platinum Autograph] #35,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-23
10086935,Football Cards 2025 Panini Luminance,Adonai Mitchell [Platinum] #35,$113.04,,,,,,,,,,,$62.00,$124.00,,,,,,1,,,,,2025-07-23
10086933,Football Cards 2025 Panini Luminance,Adonai Mitchell [Red] #35,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-23
10086931,Football Cards 2025 Panini Luminance,Adonai Mitchell [Teal] #35,$5.46,,,,,,,,,,,$1.20,$5.99,,,,,,1,,,,,2025-07-23
10088689,Football Cards 2025 Panini Luminance,Adonai Mitchell [Vivid Autograph] #35,$24.50,,,,,,,,,,,$8.10,$26.99,,,,,,2,,,,,2025-07-23
10086934,Football Cards 2025 Panini Luminance,Adonai Mitchell [Vivid] #35,$3.50,,,,,,,,,,,$0.80,$3.89,,,,,,4,,,,,2025-07-23
10088132,Football Cards 2025 Panini Luminance,Alfred Collins #150,$1.89,,$6.67,$12.83,$25.29,$37.67,$49.00,$23.00,$23.00,,,,$2.09,,,$1.50,$7.29,,12,,,,,2025-07-23
10088157,Football Cards 2025 Panini Luminance,Alfred Collins [Black] #150,$4.00,,$8.53,$15.99,$31.23,$46.30,$60.00,$28.00,$28.00,,,$0.90,$4.39,,,$1.90,$9.39,,8,,,,,2025-07-23
10088152,Football Cards 2025 Panini Luminance,Alfred Collins [Blue] #150,$6.99,,$11.16,$20.46,$39.58,$58.37,$76.00,$35.00,$35.00,,,$1.50,$7.69,,,$3.00,$11.99,,6,,,,,2025-07-23
10088135,Football Cards 2025 Panini Luminance,Alfred Collins [Gold] #150,$3.22,,$7.83,$14.80,$28.98,$43.01,$56.00,$26.00,$26.00,,,,$3.49,,,$1.70,$8.59,,13,,,,,2025-07-23
10088151,Football Cards 2025 Panini Luminance,Alfred Collins [Green] #150,$8.00,,$12.05,$21.98,$42.43,$62.54,$81.00,$38.00,$38.00,,,$1.80,$8.79,,,$3.30,$12.99,,7,,,,,2025-07-23
10088158,Football Cards 2025 Panini Luminance,Alfred Collins [Orange] #150,$0.99,,,,,,,,,,,,$1.09,,,,,,4,,,,,2025-07-23
10088171,Football Cards 2025 Panini Luminance,Alfred Collins [Platinum] #150,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-23
10088149,Football Cards 2025 Panini Luminance,Alfred Collins [Purple] #150,$5.00,,$9.41,$17.49,$34.04,$50.38,$65.00,$30.00,$30.00,,,$1.10,$5.49,,,$2.00,$9.99,,8,,,,,2025-07-23
10088168,Football Cards 2025 Panini Luminance,Alfred Collins [Red] #150,$14.98,,$18.20,$32.42,$62.00,$90.90,$118.00,$55.00,$55.00,,,$4.00,$15.99,,,$5.00,$19.99,,6,,,,,2025-07-23
10088160,Football Cards 2025 Panini Luminance,Alfred Collins [Teal] #150,$9.99,,,,,,,,,,,$2.80,$10.99,,,,,,3,,,,,2025-07-23
