id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
11983701,Football Cards 2025 Panini National Treasures,A.J. Brown #81,$7.27,,$11.59,$21.47,$41.75,$63.16,$82.00,$38.00,$38.00,,,$1.60,$7.99,,,$3.30,$12.99,,18,,,,,2026-02-18
11983708,Football Cards 2025 Panini National Treasures,A.J. Brown [Emerald] #81,$15.00,,,,,,,,,,,$4.30,$16.99,,,,,,1,,,,,2026-02-18
11983702,Football Cards 2025 Panini National Treasures,A.J. Brown [Gold] #81,$10.00,,$14.03,$25.73,$49.81,$75.43,$98.00,$45.00,$45.00,,,$2.80,$10.99,,,$3.80,$14.99,,12,,,,,2026-02-18
11983908,Football Cards 2025 Panini National Treasures,A.J. Brown [Holo Gold] #81,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983704,Football Cards 2025 Panini National Treasures,A.J. Brown [Holo Silver] #81,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11984024,Football Cards 2025 Panini National Treasures,A.J. Brown [Jersey Number Red] #81,$12.84,,,,,,,,,,,$3.50,$13.99,,,,,,1,,,,,2026-02-18
11983705,Football Cards 2025 Panini National Treasures,A.J. Brown [Midnight] #81,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983707,Football Cards 2025 Panini National Treasures,A.J. Brown [Platinum] #81,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983710,Football Cards 2025 Panini National Treasures,A.J. Brown [Printing Plate] #81,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983703,Football Cards 2025 Panini National Treasures,A.J. Brown [Purple] #81,$5.50,,$9.96,$18.64,$36.36,$54.90,$71.00,$33.00,$33.00,,,$1.20,$6.09,,,$2.80,$10.99,,23,,,,,2026-02-18
11983706,Football Cards 2025 Panini National Treasures,A.J. Brown [Stars Stripes] #81,$45.00,,,,,,,,,,,$20.00,$49.99,,,,,,1,,,,,2026-02-18
11983485,Football Cards 2025 Panini National Treasures,Aaron Donald #61,$7.30,,$11.66,$21.59,$41.96,$63.42,$82.00,$38.00,$38.00,,,$1.60,$7.99,,,$3.30,$12.99,,53,,,,,2026-02-18
11983503,Football Cards 2025 Panini National Treasures,Aaron Donald [Emerald] #61,$26.25,,$28.72,$51.34,$98.36,$149.55,$194.00,$90.00,$90.00,,,$8.70,$28.99,,,$9.60,$31.99,,7,,,,,2026-02-18
11983491,Football Cards 2025 Panini National Treasures,Aaron Donald [Gold] #61,$14.50,,$15.38,$28.06,$54.22,$82.08,$107.00,$49.00,$49.00,,,$4.00,$15.99,,,$4.30,$16.99,,17,,,,,2026-02-18
11983497,Football Cards 2025 Panini National Treasures,Aaron Donald [Holo Gold] #61,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983492,Football Cards 2025 Panini National Treasures,Aaron Donald [Holo Silver] #61,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983971,Football Cards 2025 Panini National Treasures,Aaron Donald [Jersey Number Red] #61,$20.00,,$23.06,$41.45,$79.60,$120.80,$157.00,$72.00,$72.00,,,$6.60,$21.99,,,$7.50,$24.99,,18,,,,,2026-02-18
11983494,Football Cards 2025 Panini National Treasures,Aaron Donald [Midnight] #61,$56.00,,,,,,,,,,,$24.80,$61.99,,,,,,1,,,,,2026-02-18
11983505,Football Cards 2025 Panini National Treasures,Aaron Donald [Platinum] #61,$357.00,,$327.39,$571.27,$1083.62,$1650.26,$2145.00,$990.00,$990.00,,,$196.50,$393.00,,,$180.00,$360.00,,7,,,,,2026-02-18
11983507,Football Cards 2025 Panini National Treasures,Aaron Donald [Printing Plate] #61,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983486,Football Cards 2025 Panini National Treasures,Aaron Donald [Purple] #61,$8.50,,$12.67,$23.35,$45.30,$99.99,$130.00,$60.00,$60.00,,,$1.90,$9.39,,,$3.50,$13.99,,24,,,,,2026-02-18
11983499,Football Cards 2025 Panini National Treasures,Aaron Donald [Stars Stripes] #61,$23.83,,,,,,,,,,,$7.80,$25.99,,,,,,1,,,,,2026-02-18
11983553,Football Cards 2025 Panini National Treasures,Aaron Jones #66,$4.88,,$5.94,$13.01,$34.63,$54.97,$71.00,$33.00,$33.00,,,$1.10,$5.39,,,$1.30,$6.49,,22,,,,,2026-02-18
11983561,Football Cards 2025 Panini National Treasures,Aaron Jones [Emerald] #66,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983557,Football Cards 2025 Panini National Treasures,Aaron Jones [Gold] #66,$10.00,,,,,,,,,,,$2.80,$10.99,,,,,,1,,,,,2026-02-18
11983560,Football Cards 2025 Panini National Treasures,Aaron Jones [Holo Gold] #66,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983556,Football Cards 2025 Panini National Treasures,Aaron Jones [Holo Silver] #66,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983982,Football Cards 2025 Panini National Treasures,Aaron Jones [Jersey Number Red] #66,$4.00,,,,,,,,,,,$0.90,$4.39,,,,,,1,,,,,2026-02-18
11983558,Football Cards 2025 Panini National Treasures,Aaron Jones [Midnight] #66,$10.00,,,$22.00,$24.00,,,,,,,$2.80,$10.99,,,,,,2,,,,,2026-02-18
11983562,Football Cards 2025 Panini National Treasures,Aaron Jones [Platinum] #66,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983564,Football Cards 2025 Panini National Treasures,Aaron Jones [Printing Plate] #66,$49.99,,,,,,,,,,,$22.00,$54.99,,,,,,1,,,,,2026-02-18
11983555,Football Cards 2025 Panini National Treasures,Aaron Jones [Purple] #66,$3.95,,$8.57,$16.22,$31.80,$48.02,$62.00,$29.00,$29.00,,,$0.90,$4.39,,,$1.90,$9.39,,19,,,,,2026-02-18
11983559,Football Cards 2025 Panini National Treasures,Aaron Jones [Stars Stripes] #66,$22.50,,,$19.50,$21.00,,,,,,,$7.50,$24.99,,,,,,2,,,,,2026-02-18
11983719,Football Cards 2025 Panini National Treasures,Aaron Rodgers #83,$6.75,,$12.68,$23.37,$45.34,$68.63,$89.00,$41.00,$41.00,,,$1.50,$7.39,,,$3.50,$13.99,,29,,,,,2026-02-18
11983727,Football Cards 2025 Panini National Treasures,Aaron Rodgers [Emerald] #83,$40.00,,,,,,,,,,,$17.60,$43.99,,,,,,1,,,,,2026-02-18
11984046,Football Cards 2025 Panini National Treasures,Aaron Rodgers [Gold Premium] #83,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11984050,Football Cards 2025 Panini National Treasures,Aaron Rodgers [Gold Vinyl Premium] #83,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983722,Football Cards 2025 Panini National Treasures,Aaron Rodgers [Gold] #83,$21.00,,$23.96,$43.00,$54.00,$55.00,$72.00,$33.00,$33.00,,,$6.90,$22.99,,,$7.80,$25.99,,21,,,,,2026-02-18
11983725,Football Cards 2025 Panini National Treasures,Aaron Rodgers [Holo Gold] #83,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983723,Football Cards 2025 Panini National Treasures,Aaron Rodgers [Holo Silver] #83,$41.76,,$42.70,$75.63,$144.36,$219.38,$285.00,$132.00,$132.00,,,$18.40,$45.99,,,$18.80,$46.99,,16,,,,,2026-02-18
11984028,Football Cards 2025 Panini National Treasures,Aaron Rodgers [Jersey Number Red] #83,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983724,Football Cards 2025 Panini National Treasures,Aaron Rodgers [Midnight] #83,$19.50,,$22.61,$40.64,$78.06,$118.41,$154.00,$71.00,$71.00,,,$6.30,$20.99,,,$7.50,$24.99,,14,,,,,2026-02-18
11983728,Football Cards 2025 Panini National Treasures,Aaron Rodgers [Platinum] #83,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11984039,Football Cards 2025 Panini National Treasures,Aaron Rodgers [Premium] #83,$21.85,,$24.73,$44.33,$85.05,$129.04,$168.00,$77.00,$77.00,,,$7.20,$23.99,,,$8.10,$26.99,,9,,,,,2026-02-18
11983729,Football Cards 2025 Panini National Treasures,Aaron Rodgers [Printing Plate] #83,$42.00,,,,,,,,,,,$18.40,$45.99,,,,,,1,,,,,2026-02-18
11983721,Football Cards 2025 Panini National Treasures,Aaron Rodgers [Purple] #83,$16.99,,$20.34,$36.71,$70.60,$107.07,$139.00,$64.00,$64.00,,,$4.80,$18.99,,,$6.60,$21.99,,36,,,,,2026-02-18
11984041,Football Cards 2025 Panini National Treasures,Aaron Rodgers [Stars Stripes Premium] #83,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983726,Football Cards 2025 Panini National Treasures,Aaron Rodgers [Stars Stripes] #83,$38.00,,$39.37,$69.95,$133.69,$203.74,$265.00,$122.00,$122.00,,,$16.80,$41.99,,,$17.20,$42.99,,7,,,,,2026-02-18
11983210,Football Cards 2025 Panini National Treasures,Aidan Hutchinson #33,$9.64,,$13.50,$27.27,$52.71,$79.80,$104.00,$48.00,$48.00,,,$2.80,$10.99,,,$3.80,$14.99,,39,,,,,2026-02-18
11983227,Football Cards 2025 Panini National Treasures,Aidan Hutchinson [Emerald] #33,$16.58,,$19.97,$36.07,$69.41,$105.28,$137.00,$63.00,$63.00,,,$4.50,$17.99,,,$6.60,$21.99,,10,,,,,2026-02-18
11983218,Football Cards 2025 Panini National Treasures,Aidan Hutchinson [Gold] #33,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983224,Football Cards 2025 Panini National Treasures,Aidan Hutchinson [Holo Gold] #33,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983221,Football Cards 2025 Panini National Treasures,Aidan Hutchinson [Holo Silver] #33,$17.02,,$20.60,$37.21,$71.59,$89.88,$117.00,$54.00,$54.00,,,$4.80,$18.99,,,$6.90,$22.99,,9,,,,,2026-02-18
11983941,Football Cards 2025 Panini National Treasures,Aidan Hutchinson [Jersey Number Red] #33,$12.25,,$15.39,$28.09,$54.28,$82.24,$107.00,$49.00,$49.00,,,$3.30,$12.99,,,$4.30,$16.99,,24,,,,,2026-02-18
11983222,Football Cards 2025 Panini National Treasures,Aidan Hutchinson [Midnight] #33,$26.00,,$28.48,$50.87,$97.44,$147.95,$192.00,$89.00,$89.00,,,$8.70,$28.99,,,$9.30,$30.99,,15,,,,,2026-02-18
11983233,Football Cards 2025 Panini National Treasures,Aidan Hutchinson [Platinum] #33,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983232,Football Cards 2025 Panini National Treasures,Aidan Hutchinson [Printing Plate] #33,$115.00,,,,,,,,,,,$63.50,$127.00,,,,,,1,,,,,2026-02-18
11983213,Football Cards 2025 Panini National Treasures,Aidan Hutchinson [Purple] #33,$10.99,,$13.02,$23.96,$46.45,$53.00,$69.00,$32.00,$32.00,,,$3.00,$11.99,,,$3.50,$13.99,,21,,,,,2026-02-18
11983226,Football Cards 2025 Panini National Treasures,Aidan Hutchinson [Stars Stripes] #33,$45.00,,$45.70,$80.95,$154.54,$235.52,$306.00,$141.00,$141.00,,,$20.00,$49.99,,,$20.00,$49.99,,7,,,,,2026-02-18
11983570,Football Cards 2025 Panini National Treasures,Alvin Kamara #71,$19.99,,,,,,,,,,,$6.60,$21.99,,,,,,1,,,,,2026-02-18
11983585,Football Cards 2025 Panini National Treasures,Alvin Kamara [Emerald] #71,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983906,Football Cards 2025 Panini National Treasures,Alvin Kamara [Gold] #71,$16.91,,$20.27,$36.57,$70.35,$106.66,$139.00,$64.00,$64.00,,,$4.80,$18.99,,,$6.60,$21.99,,6,,,,,2026-02-18
11983580,Football Cards 2025 Panini National Treasures,Alvin Kamara [Holo Gold] #71,$17.00,,,,,,,,,,,$4.80,$18.99,,,,,,1,,,,,2026-02-18
11983576,Football Cards 2025 Panini National Treasures,Alvin Kamara [Holo Silver] #71,$5.99,,$10.19,$19.03,$37.11,$56.03,$73.00,$34.00,$34.00,,,$1.30,$6.59,,,$2.80,$10.99,,8,,,,,2026-02-18
11983996,Football Cards 2025 Panini National Treasures,Alvin Kamara [Jersey Number Red] #71,$11.88,,$15.74,$28.70,$55.45,$84.08,$109.00,$50.00,$50.00,,,$3.30,$12.99,,,$4.30,$16.99,,7,,,,,2026-02-18
11983579,Football Cards 2025 Panini National Treasures,Alvin Kamara [Midnight] #71,$36.00,,$37.54,$66.71,$127.51,$194.09,$252.00,$116.00,$116.00,,,$16.00,$39.99,,,$16.40,$40.99,,11,,,,,2026-02-18
11983587,Football Cards 2025 Panini National Treasures,Alvin Kamara [Platinum] #71,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983590,Football Cards 2025 Panini National Treasures,Alvin Kamara [Printing Plate] #71,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983574,Football Cards 2025 Panini National Treasures,Alvin Kamara [Purple] #71,$4.35,,,,,,,,,,,$1.00,$4.79,,,,,,1,,,,,2026-02-18
11983582,Football Cards 2025 Panini National Treasures,Alvin Kamara [Stars Stripes] #71,$97.00,,,,,,,,,,,$53.50,$107.00,,,,,,1,,,,,2026-02-18
11983234,Football Cards 2025 Panini National Treasures,Amon-Ra St. Brown #34,$14.99,,$18.53,$33.55,$64.62,$97.92,$127.00,$59.00,$59.00,,,$4.00,$15.99,,,$5.00,$19.99,,42,,,,,2026-02-18
11983245,Football Cards 2025 Panini National Treasures,Amon-Ra St. Brown [Emerald] #34,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983237,Football Cards 2025 Panini National Treasures,Amon-Ra St. Brown [Gold] #34,$17.50,,,,,,,,,,,$4.80,$18.99,,,,,,24,,,,,2026-02-18
11983244,Football Cards 2025 Panini National Treasures,Amon-Ra St. Brown [Holo Gold] #34,$32.10,,,,,,,,,,,$10.50,$34.99,,,,,,1,,,,,2026-02-18
11983239,Football Cards 2025 Panini National Treasures,Amon-Ra St. Brown [Holo Silver] #34,$31.25,,$33.24,$59.21,$113.28,$172.31,$224.00,$103.00,$103.00,,,$10.20,$33.99,,,$14.80,$36.99,,7,,,,,2026-02-18
11983942,Football Cards 2025 Panini National Treasures,Amon-Ra St. Brown [Jersey Number Red] #34,$13.50,,$17.19,$31.21,$60.19,$91.17,$119.00,$55.00,$55.00,,,$3.80,$14.99,,,$4.80,$18.99,,20,,,,,2026-02-18
11983243,Football Cards 2025 Panini National Treasures,Amon-Ra St. Brown [Midnight] #34,$26.00,,,,,,,,,,,$8.70,$28.99,,,,,,1,,,,,2026-02-18
11983247,Football Cards 2025 Panini National Treasures,Amon-Ra St. Brown [Platinum] #34,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983248,Football Cards 2025 Panini National Treasures,Amon-Ra St. Brown [Printing Plate] #34,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983236,Football Cards 2025 Panini National Treasures,Amon-Ra St. Brown [Purple] #34,$5.13,,$9.97,$18.64,$36.38,$54.94,$71.00,$33.00,$33.00,,,$1.10,$5.59,,,$2.80,$10.99,,13,,,,,2026-02-18
11983242,Football Cards 2025 Panini National Treasures,Amon-Ra St. Brown [Stars Stripes] #34,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983305,Football Cards 2025 Panini National Treasures,Andre Johnson #42,$5.60,,$10.00,$35.00,$36.50,$55.13,$72.00,$33.00,$33.00,,,$1.20,$6.19,,,$2.80,$10.99,,35,,,,,2026-02-18
11983318,Football Cards 2025 Panini National Treasures,Andre Johnson [Emerald] #42,$15.85,,$21.27,$38.35,$73.74,$112.00,$146.00,$67.00,$67.00,,,$4.30,$16.99,,,$6.90,$22.99,,11,,,,,2026-02-18
11983308,Football Cards 2025 Panini National Treasures,Andre Johnson [Gold] #42,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983313,Football Cards 2025 Panini National Treasures,Andre Johnson [Holo Gold] #42,$20.00,,$23.06,$41.43,$79.56,$120.70,$157.00,$72.00,$72.00,,,$6.60,$21.99,,,$7.50,$24.99,,12,,,,,2026-02-18
11983310,Football Cards 2025 Panini National Treasures,Andre Johnson [Holo Silver] #42,$9.00,,,,,,,,,,,$2.00,$9.89,,,,,,1,,,,,2026-02-18
11983949,Football Cards 2025 Panini National Treasures,Andre Johnson [Jersey Number Red] #42,$4.25,,$8.84,$16.70,$32.70,$51.00,$66.00,$31.00,$31.00,,,$0.90,$4.69,,,$1.90,$9.69,,13,,,,,2026-02-18
11983312,Football Cards 2025 Panini National Treasures,Andre Johnson [Midnight] #42,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983321,Football Cards 2025 Panini National Treasures,Andre Johnson [Platinum] #42,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983325,Football Cards 2025 Panini National Treasures,Andre Johnson [Printing Plate] #42,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983307,Football Cards 2025 Panini National Treasures,Andre Johnson [Purple] #42,$3.75,,,,,,,,,,,$0.80,$4.09,,,,,,13,,,,,2026-02-18
11983316,Football Cards 2025 Panini National Treasures,Andre Johnson [Stars Stripes] #42,$16.37,,,,,,,,,,,$4.50,$17.99,,,,,,1,,,,,2026-02-18
11984420,Football Cards 2025 Panini National Treasures,Andrew Mukuba [Emerald Rookie Signature] #141,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11984411,Football Cards 2025 Panini National Treasures,Andrew Mukuba [Gold Rookie Signature] #141,$35.95,,,,,,,,,,,$16.00,$39.99,,,,,,1,,,,,2026-02-18
11984415,Football Cards 2025 Panini National Treasures,Andrew Mukuba [Holo Gold Rookie Signature] #141,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11984413,Football Cards 2025 Panini National Treasures,Andrew Mukuba [Holo Silver Rookie Signature] #141,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11984531,Football Cards 2025 Panini National Treasures,Andrew Mukuba [Jersey Number Red Rookie Signature] #141,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11984421,Football Cards 2025 Panini National Treasures,Andrew Mukuba [Platinum Rookie Signature] #141,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11984425,Football Cards 2025 Panini National Treasures,Andrew Mukuba [Printing Plate Rookie Signature] #141,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11984410,Football Cards 2025 Panini National Treasures,Andrew Mukuba [Purple Rookie Signature] #141,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11984409,Football Cards 2025 Panini National Treasures,Andrew Mukuba [Rookie Signature] #141,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983465,Football Cards 2025 Panini National Treasures,Antonio Gates #57,$4.81,,$9.34,$17.56,$34.33,$51.82,$67.00,$31.00,$31.00,,,$1.10,$5.29,,,$2.00,$9.99,,20,,,,,2026-02-18
11983472,Football Cards 2025 Panini National Treasures,Antonio Gates [Emerald] #57,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11984122,Football Cards 2025 Panini National Treasures,Antonio Gates [Gold Premium] #57,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11984123,Football Cards 2025 Panini National Treasures,Antonio Gates [Gold Vinyl Premium] #57,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983467,Football Cards 2025 Panini National Treasures,Antonio Gates [Gold] #57,$6.90,,,,,,,,,,,$1.50,$7.59,,,,,,1,,,,,2026-02-18
11983469,Football Cards 2025 Panini National Treasures,Antonio Gates [Holo Gold] #57,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983468,Football Cards 2025 Panini National Treasures,Antonio Gates [Holo Silver] #57,$6.06,,$10.48,$19.55,$38.10,$57.62,$75.00,$35.00,$35.00,,,$1.30,$6.69,,,$3.00,$11.99,,8,,,,,2026-02-18
11983964,Football Cards 2025 Panini National Treasures,Antonio Gates [Jersey Number Red] #57,$8.15,,$12.45,$22.97,$44.58,$67.43,$88.00,$40.00,$40.00,,,$1.80,$8.99,,,$3.50,$13.99,,21,,,,,2026-02-18
11983471,Football Cards 2025 Panini National Treasures,Antonio Gates [Midnight] #57,$23.00,,,,,,,,,,,$7.50,$24.99,,,,,,1,,,,,2026-02-18
11983473,Football Cards 2025 Panini National Treasures,Antonio Gates [Platinum] #57,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11984120,Football Cards 2025 Panini National Treasures,Antonio Gates [Premium] #57,$21.25,,$24.21,$43.50,$83.51,$126.99,$165.00,$76.00,$76.00,,,$6.90,$22.99,,,$8.10,$26.99,,8,,,,,2026-02-18
11983474,Football Cards 2025 Panini National Treasures,Antonio Gates [Printing Plate] #57,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983466,Football Cards 2025 Panini National Treasures,Antonio Gates [Purple] #57,$3.91,,$8.54,$16.17,$31.69,$47.86,$62.00,$29.00,$29.00,,,$0.90,$4.29,,,$1.90,$9.39,,8,,,,,2026-02-18
11984121,Football Cards 2025 Panini National Treasures,Antonio Gates [Stars Stripes Premium] #57,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11983470,Football Cards 2025 Panini National Treasures,Antonio Gates [Stars Stripes] #57,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11985272,Football Cards 2025 Panini National Treasures,Arian Smith [Black Rookie Patch Autograph] #199,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11984309,Football Cards 2025 Panini National Treasures,Arian Smith [Emerald Rookie Signature] #121,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11984296,Football Cards 2025 Panini National Treasures,Arian Smith [Gold Rookie Signature] #121,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11985378,Football Cards 2025 Panini National Treasures,Arian Smith [Green Jersey Number Rookie Patch Autograph] #199,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11985269,Football Cards 2025 Panini National Treasures,Arian Smith [Holo Gold Rookie Patch Autograph] #199,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11984304,Football Cards 2025 Panini National Treasures,Arian Smith [Holo Gold Rookie Signature] #121,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11985266,Football Cards 2025 Panini National Treasures,Arian Smith [Holo Silver Rookie Patch Autograph] #199,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11984301,Football Cards 2025 Panini National Treasures,Arian Smith [Holo Silver Rookie Signature] #121,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11985267,Football Cards 2025 Panini National Treasures,Arian Smith [Holo Silver Stars and Stripes Rookie Patch Autograph] #199,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11984518,Football Cards 2025 Panini National Treasures,Arian Smith [Jersey Number Red Rookie Signature] #121,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11985275,Football Cards 2025 Panini National Treasures,Arian Smith [Midnight Moon Rookie Patch Autograph] #199,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
11985268,Football Cards 2025 Panini National Treasures,Arian Smith [Midnight Rookie Patch Autograph] #199,,,,,,,,,,,,,,,,,,,0,,,,,2026-02-18
