id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
11618843,Football Cards 2025 Panini Prizm,1st Off the Line Box,$300.00,,,,,,,,,,,$165.00,$330.00,,,,,,1,,,,,2026-01-09
11608344,Football Cards 2025 Panini Prizm,A.J. Brown #253,$1.39,,$6.26,$12.19,$24.14,$36.28,$47.00,$22.00,$22.00,,,,$1.49,,,$1.40,$6.89,,24,,,,,2026-01-09
11618901,Football Cards 2025 Panini Prizm,A.J. Brown [Black Blue Checker] #253,$8.49,,$12.65,$23.27,$45.12,$68.01,$88.00,$41.00,$41.00,,,$1.90,$9.29,,,$3.50,$13.99,,39,,,,,2026-01-09
11607711,Football Cards 2025 Panini Prizm,A.J. Brown [Black Finite] #253,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-09
11612705,Football Cards 2025 Panini Prizm,A.J. Brown [Black Red Checker] #253,$14.12,,$17.71,$32.06,$61.74,$93.20,$121.00,$56.00,$56.00,,,$4.00,$15.99,,,$4.80,$18.99,,11,,,,,2026-01-09
11607713,Football Cards 2025 Panini Prizm,A.J. Brown [Black Shimmer] #253,$700.00,,,,,,,,,,,$462.00,$770.00,,,,,,1,,,,,2026-01-09
11614453,Football Cards 2025 Panini Prizm,A.J. Brown [Black Stars] #253,,,,,,,,,,,,,,,,,,,0,,,,,2026-01-09
11612707,Football Cards 2025 Panini Prizm,A.J. Brown [Black White Checker] #253,$4.27,,,,,,,,,,,$0.90,$4.69,,,,,,1,,,,,2026-01-09
11607653,Football Cards 2025 Panini Prizm,A.J. Brown [Blue Ice] #253,$10.47,,$16.25,$29.52,$56.93,$85.89,$112.00,$52.00,$52.00,,,$3.00,$11.99,,,$4.50,$17.99,,10,,,,,2026-01-09
11607679,Football Cards 2025 Panini Prizm,A.J. Brown [Blue Shimmer] #253,$12.18,,$15.96,$29.02,$55.98,$84.46,$110.00,$51.00,$51.00,,,$3.30,$12.99,,,$4.50,$17.99,,16,,,,,2026-01-09
