id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10778640,Football Cards 2025 Panini Revolution,A.J. Brown #181,$1.40,,$6.25,$12.14,$24.03,$35.97,$47.00,$22.00,$22.00,,,,$1.49,,,$1.40,$6.89,,19,,,,,2025-10-06
10778727,Football Cards 2025 Panini Revolution,A.J. Brown [Black Levels] #181,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-06
10778663,Football Cards 2025 Panini Revolution,A.J. Brown [Blue Astro] #181,$1.97,,$5.93,$11.60,$23.02,$34.47,$45.00,$21.00,$21.00,,,,$2.19,,,$1.30,$6.49,,11,,,,,2025-10-06
10778678,Football Cards 2025 Panini Revolution,A.J. Brown [Blue Cosmo] #181,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-06
10778662,Football Cards 2025 Panini Revolution,A.J. Brown [Blue Storm] #181,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-06
10778680,Football Cards 2025 Panini Revolution,A.J. Brown [Blue Swirl] #181,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-06
10778704,Football Cards 2025 Panini Revolution,A.J. Brown [Cosmic] #181,$6.88,,,,,,,,,,,$1.50,$7.59,,,,,,4,,,,,2025-10-06
10778714,Football Cards 2025 Panini Revolution,A.J. Brown [Cubic] #181,$10.00,,,,,,,,,,,$2.80,$10.99,,,,,,1,,,,,2025-10-06
10778690,Football Cards 2025 Panini Revolution,A.J. Brown [Fireworks] #181,$3.00,,$7.67,$14.58,$28.62,$42.76,$56.00,$26.00,$26.00,,,,$3.29,,,$1.70,$8.39,,7,,,,,2025-10-06
10778683,Football Cards 2025 Panini Revolution,A.J. Brown [Fractal] #181,$5.15,,$9.58,$17.87,$34.81,$51.94,$68.00,$31.00,$31.00,,,$1.10,$5.69,,,$2.80,$10.99,,9,,,,,2025-10-06
10778710,Football Cards 2025 Panini Revolution,A.J. Brown [Future Frame] #181,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-06
10778643,Football Cards 2025 Panini Revolution,A.J. Brown [Galactic] #181,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-06
10778718,Football Cards 2025 Panini Revolution,A.J. Brown [Gold Levels] #181,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-06
10778659,Football Cards 2025 Panini Revolution,A.J. Brown [Green Astro] #181,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-06
10778669,Football Cards 2025 Panini Revolution,A.J. Brown [Green Cosmo] #181,$1.00,,,,,,,,,,,,$1.09,,,,,,1,,,,,2025-10-06
10778660,Football Cards 2025 Panini Revolution,A.J. Brown [Green Storm] #181,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2025-10-06
10778672,Football Cards 2025 Panini Revolution,A.J. Brown [Green Swirl] #181,$1.75,,$6.56,$12.68,$25.05,$37.49,$49.00,$22.00,$22.00,,,,$1.89,,,$1.40,$7.19,,13,,,,,2025-10-06
10778645,Football Cards 2025 Panini Revolution,A.J. Brown [Groove] #181,$0.88,,$5.78,$11.34,$22.53,$33.74,$44.00,$20.00,$20.00,,,,$0.99,,,$1.30,$6.39,,6,,,,,2025-10-06
10778725,Football Cards 2025 Panini Revolution,A.J. Brown [Holo Gold] #181,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-06
10778712,Football Cards 2025 Panini Revolution,A.J. Brown [Holo Green] #181,$14.50,,,,,,,,,,,$4.00,$15.99,,,,,,1,,,,,2025-10-06
10778701,Football Cards 2025 Panini Revolution,A.J. Brown [Holo Red] #181,$3.25,,,,,,,,,,,,$3.59,,,,,,1,,,,,2025-10-06
