id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
9916414,Football Cards 2025 Panini Score,A.J. Brown #1,$0.66,,$5.58,$10.99,$21.84,$32.67,$42.00,$20.00,$20.00,,,,$0.99,,,$1.20,$6.09,,17,,,,,2025-07-03
9916434,Football Cards 2025 Panini Score,A.J. Brown [Artist's Proof] #1,$6.60,,$10.81,$19.85,$38.44,$56.68,$74.00,$34.00,$34.00,,,$1.50,$7.29,,,$3.00,$11.99,,11,,,,,2025-07-03
9916426,Football Cards 2025 Panini Score,A.J. Brown [Bats] #1,$11.75,,,,,,,,,,,$3.30,$12.99,,,,,,3,,,,,2025-07-03
9916428,Football Cards 2025 Panini Score,A.J. Brown [Circular] #1,$2.49,,$7.19,$13.72,$26.97,$40.08,$52.00,$24.00,$24.00,,,,$2.69,,,$1.60,$7.89,,9,,,,,2025-07-03
9916430,Football Cards 2025 Panini Score,A.J. Brown [Cubic] #1,$1.27,,$6.07,$11.82,$23.41,$34.93,$45.00,$21.00,$21.00,,,,$1.39,,,$1.30,$6.69,,8,,,,,2025-07-03
9916437,Football Cards 2025 Panini Score,A.J. Brown [Die-Cut] #1,$23.11,,$25.89,$45.42,$86.27,$125.73,$163.00,$75.00,$75.00,,,$7.50,$24.99,,,$8.40,$27.99,,7,,,,,2025-07-03
9916443,Football Cards 2025 Panini Score,A.J. Brown [Dots Blue] #1,$1.99,,$6.75,$12.97,$25.56,$38.05,$49.00,$23.00,$23.00,,,,$2.19,,,$1.50,$7.39,,10,,,,,2025-07-03
9916442,Football Cards 2025 Panini Score,A.J. Brown [Dots Gold] #1,$2.43,,$7.13,$13.61,$26.75,$39.76,$52.00,$24.00,$24.00,,,,$2.69,,,$1.60,$7.79,,12,,,,,2025-07-03
9916444,Football Cards 2025 Panini Score,A.J. Brown [Dots Red] #1,$8.79,,,,,,,,,,,$1.90,$9.69,,,,,,4,,,,,2025-07-03
9916432,Football Cards 2025 Panini Score,A.J. Brown [Electric] #1,$2.00,,,,,,,,,,,,$2.19,,,,,,1,,,,,2025-07-03
9916427,Football Cards 2025 Panini Score,A.J. Brown [Ellipse] #1,$2.99,,$7.63,$14.47,$28.36,$42.11,$55.00,$25.00,$25.00,,,,$3.29,,,$1.70,$8.39,,8,,,,,2025-07-03
9929013,Football Cards 2025 Panini Score,A.J. Brown [End Zone Signature Red Zone] #1,$19.99,,,,,,,,,,,$6.60,$21.99,,,,,,1,,,,,2025-07-03
9916439,Football Cards 2025 Panini Score,A.J. Brown [End Zone] #1,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-03
9916415,Football Cards 2025 Panini Score,A.J. Brown [Extraterrestrial] #1,$36.00,,,,,,,,,,,$16.00,$39.99,,,,,,1,,,,,2025-07-03
9916438,Football Cards 2025 Panini Score,A.J. Brown [First Down] #1,$27.50,,,,,,,,,,,$9.00,$29.99,,,,,,1,,,,,2025-07-03
9929014,Football Cards 2025 Panini Score,A.J. Brown [Gem Master Signature Red Zone] #1,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-03
9916440,Football Cards 2025 Panini Score,A.J. Brown [Gem Master] #1,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-03
9916433,Football Cards 2025 Panini Score,A.J. Brown [Gold Zone] #1,$7.00,,$33.08,$36.00,$39.54,$58.23,$76.00,$35.00,$35.00,,,$1.50,$7.69,,,$14.40,$35.99,,6,,,,,2025-07-03
9916416,Football Cards 2025 Panini Score,A.J. Brown [Gold] #1,$2.25,,,,,,,,,,,,$2.49,,,,,,1,,,,,2025-07-03
9916417,Football Cards 2025 Panini Score,A.J. Brown [Green] #1,$1.50,,$6.32,$12.24,$24.20,$36.08,$47.00,$22.00,$22.00,,,,$1.69,,,$1.40,$6.99,,5,,,,,2025-07-03
9916423,Football Cards 2025 Panini Score,A.J. Brown [Lava] #1,$1.92,,$6.75,$12.97,$25.56,$38.04,$49.00,$23.00,$23.00,,,,$2.09,,,$1.50,$7.39,,10,,,,,2025-07-03
9916418,Football Cards 2025 Panini Score,A.J. Brown [Orange] #1,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-03
9916441,Football Cards 2025 Panini Score,A.J. Brown [Printing Plate] #1,$71.97,,,,,,,,,,,$31.60,$78.99,,,,,,4,,,,,2025-07-03
9916419,Football Cards 2025 Panini Score,A.J. Brown [Pumpkin] #1,$1.59,,,,,,,,,,,,$1.79,,,,,,4,,,,,2025-07-03
9916420,Football Cards 2025 Panini Score,A.J. Brown [Purple] #1,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-03
9916436,Football Cards 2025 Panini Score,A.J. Brown [Red Zone] #1,$5.62,,,,,,,,,,,$1.20,$6.19,,,,,,2,,,,,2025-07-03
9916421,Football Cards 2025 Panini Score,A.J. Brown [Red] #1,$0.50,,,,,,,,,,,,$0.99,,,,,,4,,,,,2025-07-03
9916422,Football Cards 2025 Panini Score,A.J. Brown [Scorecard] #1,$1.49,,,,,,,,,,,,$1.59,,,,,,1,,,,,2025-07-03
9916429,Football Cards 2025 Panini Score,A.J. Brown [Showcase] #1,$1.87,,$6.65,$12.79,$25.23,$37.56,$49.00,$23.00,$23.00,,,,$2.09,,,$1.50,$7.29,,11,,,,,2025-07-03
9929610,Football Cards 2025 Panini Score,A.J. Brown [Signature Red Zone] #1,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-03
9916425,Football Cards 2025 Panini Score,A.J. Brown [Spokes] #1,$2.25,,$6.98,$13.36,$26.28,$39.08,$51.00,$23.00,$23.00,,,,$2.49,,,$1.50,$7.69,,8,,,,,2025-07-03
9916424,Football Cards 2025 Panini Score,A.J. Brown [Stars] #1,$2.18,,$6.87,$13.16,$25.92,$38.56,$50.00,$23.00,$23.00,,,,$2.39,,,$1.50,$7.59,,9,,,,,2025-07-03
9916431,Football Cards 2025 Panini Score,A.J. Brown [Trick or Treat] #1,$1.50,,,,,,,,,,,,$1.69,,,,,,3,,,,,2025-07-03
9916435,Football Cards 2025 Panini Score,A.J. Brown [Webs] #1,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-03
9918667,Football Cards 2025 Panini Score,AJ Barner #82,$1.31,,$6.22,$12.08,$23.89,$35.63,$46.00,$21.00,$21.00,,,,$1.39,,,$1.40,$6.79,,13,,,,,2025-07-03
9918752,Football Cards 2025 Panini Score,AJ Barner [Artist's Proof] #82,$10.98,,$15.41,$27.66,$53.04,$77.77,$101.00,$47.00,$47.00,,,$3.00,$11.99,,,$4.30,$16.99,,8,,,,,2025-07-03
9918713,Football Cards 2025 Panini Score,AJ Barner [Bats] #82,$3.00,,,,,,,,,,,,$3.29,,,,,,1,,,,,2025-07-03
9918730,Football Cards 2025 Panini Score,AJ Barner [Circular] #82,$5.00,,,,,,,,,,,$1.10,$5.49,,,,,,4,,,,,2025-07-03
9918736,Football Cards 2025 Panini Score,AJ Barner [Cubic] #82,$2.50,,,,,,,,,,,,$2.79,,,,,,4,,,,,2025-07-03
9918756,Football Cards 2025 Panini Score,AJ Barner [Die-Cut] #82,$10.00,,,,,,,,,,,$2.80,$10.99,,,,,,4,,,,,2025-07-03
9918773,Football Cards 2025 Panini Score,AJ Barner [Dots Blue] #82,$2.49,,,,,,,,,,,,$2.69,,,,,,1,,,,,2025-07-03
9918771,Football Cards 2025 Panini Score,AJ Barner [Dots Gold] #82,$3.84,,$16.32,$18.00,$28.38,$42.10,$55.00,$25.00,$25.00,,,$0.80,$4.19,,,$4.50,$17.99,,13,,,,,2025-07-03
9918777,Football Cards 2025 Panini Score,AJ Barner [Dots Red] #82,$12.73,,,,,,,,,,,$3.50,$13.99,,,,,,3,,,,,2025-07-03
9918743,Football Cards 2025 Panini Score,AJ Barner [Electric] #82,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-03
9918723,Football Cards 2025 Panini Score,AJ Barner [Ellipse] #82,$2.25,,$6.98,$13.36,$26.29,$39.10,$51.00,$23.00,$23.00,,,,$2.49,,,$1.50,$7.69,,14,,,,,2025-07-03
9918762,Football Cards 2025 Panini Score,AJ Barner [End Zone] #82,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-03
9918671,Football Cards 2025 Panini Score,AJ Barner [Extraterrestrial] #82,$14.24,,$17.53,$31.26,$59.79,$87.54,$114.00,$53.00,$53.00,,,$4.00,$15.99,,,$4.80,$18.99,,8,,,,,2025-07-03
9918758,Football Cards 2025 Panini Score,AJ Barner [First Down] #82,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-03
9918766,Football Cards 2025 Panini Score,AJ Barner [Gem Master] #82,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-03
9918751,Football Cards 2025 Panini Score,AJ Barner [Gold Zone] #82,$4.75,,$9.19,$17.11,$33.32,$49.31,$64.00,$30.00,$30.00,,,$1.00,$5.19,,,$2.00,$9.99,,7,,,,,2025-07-03
9918675,Football Cards 2025 Panini Score,AJ Barner [Gold] #82,$2.00,,,,,,,,,,,,$2.19,,,,,,0,,,,,2025-07-03
9918681,Football Cards 2025 Panini Score,AJ Barner [Green] #82,$1.27,,$6.14,$11.92,$23.60,$35.21,$46.00,$21.00,$21.00,,,,$1.39,,,$1.40,$6.79,,15,,,,,2025-07-03
9918698,Football Cards 2025 Panini Score,AJ Barner [Lava] #82,$1.29,,$6.17,$11.98,$23.71,$35.36,$46.00,$21.00,$21.00,,,,$1.39,,,$1.40,$6.79,,15,,,,,2025-07-03
9918685,Football Cards 2025 Panini Score,AJ Barner [Orange] #82,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2025-07-03
9918769,Football Cards 2025 Panini Score,AJ Barner [Printing Plate] #82,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-03
9918687,Football Cards 2025 Panini Score,AJ Barner [Pumpkin] #82,$1.12,,$5.99,$11.67,$23.13,$34.52,$45.00,$21.00,$21.00,,,,$1.19,,,$1.30,$6.59,,7,,,,,2025-07-03
9918690,Football Cards 2025 Panini Score,AJ Barner [Purple] #82,,,,,,,,,,,,,,,,,,,0,,,,,2025-07-03
9918755,Football Cards 2025 Panini Score,AJ Barner [Red Zone] #82,$2.63,,,,,,,,,,,,$2.89,,,,,,26,,,,,2025-07-03
9918692,Football Cards 2025 Panini Score,AJ Barner [Red] #82,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2025-07-03
9918694,Football Cards 2025 Panini Score,AJ Barner [Scorecard] #82,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2025-07-03
9918734,Football Cards 2025 Panini Score,AJ Barner [Showcase] #82,$2.49,,$6.79,$13.03,$25.68,$38.22,$50.00,$23.00,$23.00,,,,$2.69,,,$1.50,$7.49,,14,,,,,2025-07-03
9918710,Football Cards 2025 Panini Score,AJ Barner [Spokes] #82,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2025-07-03
